,Name,Birthday,Nationality,Weight,Height,Reach,Stance,Total Fights,Wins,Wins by KO,Losses,Draws,No Contests
331,Mauricio Martínez,1975-05-20,"Colón, Panama",Bantamweight/Super bantamweight/Featherweight,5 ft 6 in (168 cm),66 in (168 cm),Southpaw,51,36,24,14,1,0
332,Diego Morales,1979-12-11,"Tijuana, Mexico",Lightweight,5 ft 5 in (1.65 m),,,39,37,27,2,,
333,Iván Hernández,1982-11-24,"Mexico City, Mexico",Featherweight/Super Bantamweight/Super Flyweight,5 ft 9 in (175 cm),72 in (181 cm),Orthodox,34,28,17,5,1,0
334,José López,1972-03-29,Puerto Rico,Super-flyweight,165cm ,157cm,orthodox,52,39,32,11,2,
335,Omar Narváez,,,,,,,,,,,,
336,Alberto Jiménez,1969-04-08,"Colonia Valle Gómez, Mexico City, Mexico",Featherweight/Bantamweight/Flyweight/Light Flyweight,1.57 m (5 ft 2 in),173 cm (68 in),Orthodox,42,34,29,5,3,0
337,Isidro García,,,,,,,,,,,,
338,José de Jesús,1963-08-12,"Cayey, Puerto Rico",Light flyweight,,,,41,31,22,9,1,0
339,Jonathan González,,,,,,,,,,,,
340,Alex Sánchez,,,,,,,,,,,,
341,Oscar Collazo,,,,,,,,,,,,
342,Marvin Johnson,1954-04-12,"Indianapolis, Indiana, USA",Light heavyweight,5 ft 10+1⁄2 in (179 cm),72+1⁄2 in (184 cm),Southpaw,49,43,35,6,,
343,Jeff Harding,,,,,,,,,,,,
344,Mauro Galvano,1965-02-05,"Sydney, Australia",Light heavyweight,5 ft 11+1⁄2 in (182 cm),73 in (185 cm),Orthodox,25,23,17,2,,
345,Julian Jackson,1960-09-12,"Saint Thomas, U.S. Virgin Islands",Light middleweight/Middleweight,5 ft 11 in (180 cm)[1],73 in (185 cm)[1],Orthodox,61,55,49,6,,
346,Agostino Cardamone,,,,,,,,,,,,
347,Keith Holmes,1969-03-30,"Washington, D.C., U.S.",Light middleweight/Middleweight,6 ft 2 in (188 cm),78 in (198 cm),Southpaw,46,41,25,5,,
348,Duane Thomas,,,,,,,,,,,,
349,René Jacquot,,,,,,,,,,,,
350,Luis Santana,,,,,,,,,,,,
351,Bruno Arcari,1942-01-01,"Atina, Lazio, Italy",Light welterweight,5 ft 5 in (165 cm),66+1⁄2 in (169 cm),Southpaw,73,70,38,2,1,
352,Kim Sang-Hyun,,,,,,,,,,,,
353,Billy Costello,1956-04-10,"Kingston, New York, U.S.",Light welterweight,5 ft 8+1⁄2 in (174 cm),71 in (180 cm),Orthodox,42,40,23,2,,
354,Lonnie Smith,1962-11-25,"Denver, Colorado, U.S.",Light welterweight/Welterweight,5 ft 7+1⁄2 in (171 cm),68+1⁄2 in (174 cm),Orthodox,53,44,26,7,2,
355,Rodolfo González,1945-12-16,"Guadalajara, Jalisco, Mexico",Lightweight,5 ft 9 in (175 cm),70 in (178 cm),Orthodox,89,80,66,8,1,
356,Miguel Ángel González,1970-11-15,"Colonia Roma, Mexico City, Mexico",Lightweight/Light welterweight/Welterweight/Light middleweight,5 ft 8+1⁄2 in (174 cm),68 in (173 cm),Orthodox,57,51,40,5,1,
357,David Díaz,1976-06-07,"Chicago, Illinois, U.S.",Lightweight/Light welterweight,5 ft 6 in (168 cm),69 in (175 cm),Southpaw,41,36,17,4,1,
358,Francisco Vargas,,,,,,,,,,,,
359,Danny López,1952-07-06,"Fort Duchesne, Utah, U.S.",Featherweight,5 ft 7+1⁄2 in (171 cm),71 in (180 cm),Orthodox,48,42,39,6,,
360,Kevin Kelley,,,,,,,,,,,,
361,Alejandro González,,,,,,,,,,,,
362,Jaime Garza,1959-09-10,"Santa Cruz, California, U.S.",Super bantamweight,5 ft 7 in (170 cm),67 in (170 cm),Orthodox,54,48,44,6,,
363,Julio Ceja,1992-11-18,"Tlalnepantla de Baz State of Mexico, Mexico",Super flyweight/Bantamweight/Super bantamweight,5 ft 7 in (170 cm)[1],63+1⁄2 in (161 cm)[1],Orthodox,38,32,28,5,1,
364,Carlos Zárate,1951-05-23,"Tepito, Mexico City, Mexico",Bantamweight/Super bantamweight,5 ft 8 in (173 cm),67 in (170 cm),Orthodox,70,66,63,4,,
365,Miguel Lora,,,,,,,,,,,,
366,Raúl Pérez,1967-02-14,"Tijuana, Baja California, Mexico",Bantamweight/Super bantamweight/Featherweight/Super featherweight,5 ft 11 in (180 cm)[1],74 in (188 cm)[1],Orthodox,71,61,42,6,3,1
367,Kim Chul-Ho,1961-03-03,"Osan, Gyeonggi-do, South Korea",Super flyweight,5 ft 6 in (1.68 m),,,24,19,9,3,2,0
368,Choi In-Joo,,,,,,,,,,,,
369,Tomás Rojas,1980-06-12,"Tlalixcoyan, Veracruz, Mexico",Flyweight/Super flyweight/Bantamweight/Super bantamweight/Featherweight,5 ft 8 in (173 cm),69+1⁄2 in (177 cm),Orthodox,74,52,34,20,1,1
370,Yota Sato,1984-04-01,"Morioka, Iwate, Japan",Super flyweight,5 ft 7+1⁄2 in (171 cm),70+1⁄2 in (179 cm),Orthodox,30,26,12,3,1,
371,Jesse Rodríguez,2000-01-20,"San Antonio, Texas, U.S.",Light flyweight/Flyweight/Super flyweight,5 ft 4+1⁄2 in (164 cm)[1],67 in (170 cm)[1],Southpaw,19,19,12,,,
372,Charlie Edwards,1993-02-08,"Sutton, London, England",Flyweight/Super flyweight/Bantamweight,5 ft 6 in (168 cm),66 in (168 cm),Orthodox,20,18,7,1,,1
373,Eric Ortiz,,,,,,,,,,,,
374,Édgar Sosa,1979-08-23,"Mexico City, Mexico",Light flyweight/Flyweight/Super flyweight,1.61 m (5 ft 3 in),170 cm (67 in),Orthodox,64,53,31,11,,
375,Adrián Hernández,1986-01-10,"Toluca, México, Mexico",Light flyweight/Flyweight,5 ft 4 in (1.63 m),64 in (163 cm),Orthodox,36,30,19,5,1,
376,Yu Kimura,1983-11-23,"Chiba, Japan",Light-flyweight,5 ft 4 in (163 cm),64 in (163 cm),Orthodox,22,18,3,3,1,
377,Masamichi Yabuki,1992-07-09,"Suzuka, Mie, Japan",Light flyweight,5 ft 5+1⁄2 in (166 cm),65+1⁄2 in (166 cm),Orthodox,19,15,14,4,,
378,Hideyuki Ohashi,1965-03-08,"Yokohama, Japan",Minimumweight/Light flyweight,,,Orthodox,24,19,12,5,,
379,José Antonio Aguirre,1975-07-05,"Cárdenas, Tabasco, Mexico",Minimumweight,1.60 m (5 ft 3 in),66 in (168 cm),Orthodox,47,35,21,11,1,
380,Jimmy Ellis,1940-02-24,"Louisville, Kentucky, U.S.",Heavyweight,6 ft 0 in (183 cm),76 in (193 cm),Orthodox,53,40,24,12,1,
381,John Tate,1955-01-29,"Marion, Arkansas, U.S.",Heavyweight,6 ft 4 in (193 cm),80 in (203 cm),Orthodox,37,34,23,3,,
382,Mike Weaver,1951-06-13,"Gatesville, Texas, U.S.",Heavyweight,6 ft 1 in (185 cm),78 in (198 cm),,60,41,28,18,1,
383,Greg Page,1958-10-25,"Louisville, Kentucky, U.S.",Heavyweight,6 ft 2 in (188 cm),81 in (206 cm),Orthodox,76,58,48,17,1,
384,James Smith,1953-04-03,"Magnolia, North Carolina, U.S.",Heavyweight,6 ft 4 in (193 cm),82 in (208 cm),Orthodox,62,44,32,17,1,
385,Daniel Dubois,1997-09-06,"Greenwich, London, England",Heavyweight,6 ft 5 in (196 cm)[1],78 in (198 cm)[1],Orthodox,22,20,19,2,,
386,Nate Miller,1963-08-03,"Philadelphia, Pennsylvania, U.S.",Cruiserweight/Super cruiserweight,6 ft 2 in (188 cm),77 in (196 cm),Orthodox,40,31,27,9,,
387,Víctor Ramírez,1984-03-30,"Ezeiza, Buenos Aires,Argentina",Cruiserweight/Heavyweight,5 ft 11 in (180 cm),69 in (175 cm),Orthodox,33,27,22,4,1,1
388,George Nichols,1907-07-10,"Sandusky, Ohio, US",Light heavyweight,5 ft 10.5 in (1.79 m),,,140,94,33,34,11,1
389,Joe Knight,1909-01-15,"Cairo, Georgia",Light Heavyweight,5 ft 11+1⁄2 in (182 cm),73+1⁄2 in (187 cm),,164,125,66,19,18,2
390,Fulgencio Obelmejias,,,,,,,,,,,,
391,Víctor Córdoba,1962-03-15,"Darién, Panama",Middleweight/Super middleweight/Light heavyweight,6 ft 1 in (185 cm),77 in (196 cm),Southpaw,31,22,16,6,3,0
392,Steve Little,,,,,,,,,,,,
393,George Groves,1988-03-26,"Hammersmith,West London,England",Super-middleweight,5 ft 11+1⁄2 in (182 cm)[1],74 in (188 cm)[1],Orthodox,32,28,20,4,,
394,Johnny Wilson,,,,,,,,,,,,
395,Jorge Castro,1967-08-18,"Caleta Olivia, Santa Cruz",Middleweight/Super welterweight,5 ft 9 in (1.75 m),69 in (175 cm),Orthodox,144,130,90,11,3,
396,José Duran,1945-10-09,"Madrid, Spain",Light Middleweight,5 ft 9 in (1.75 m),,Orthodox,79,63,23,6,9,
397,David Reid,,,,,,,,,,,,
398,Alejandro García,1979-07-18,"Tijuana, Mexico",Light middleweight,5 ft 9+1⁄2 in (177 cm),,,32,26,24,5,1,
399,Ramón Álvarez,,,,,,,,,,,,
400,José Cuevas,1957-12-27,"Santo Tomás de los Plátanos, Mexico",Welterweight,5 ft 8 in (173 cm),,,50,35,31,15,,
401,Aaron Davis,,,,,,,,,,,,
402,Crisanto España,,,,,,,,,,,,
403,James Page,1971-04-01,"Pittsburg, California, U.S.",Welterweight,5 ft 11 in (180 cm),73 in (185 cm),Orthodox,30,25,19,5,,
404,Andrew Lewis,,,,,,,,,,,,
405,Roberto Cruz,1941-11-21,"Baguio, Philippine Commonwealth",Light Welterweight,5 ft 10 in (1.78 m),,,44,29,12,12,3,
406,Hilmer Kenty,,,,,,,,,,,,
407,Sean O'Grady,,,,,,,,,,,,
408,José Alfaro,,,,,,,,,,,,
409,Miguel Acosta,1978-04-20,"Miranda, Venezuela",Lightweight,5 ft 7 in (170 cm),71 in (180 cm),Orthodox,40,29,23,9,2,
410,[151],,,,,,,,,,,,
411,Héctor García,1991-11-01,"San Juan de la Maguana, Dominican Republic",Featherweight/Super featherweight/Lightweight,5 ft 8 in (173 cm)[1],69 in (175 cm)[1],Southpaw,21,16,10,2,,3
412,Tommy Paul,,,,,,,,,,,,
413,Antonio Gomez,1945-09-07,"Cumaná, Venezuela",Featherweight,168 cm (5 ft 6 in),,,52,43,20,7,2,
414,Rafael Ortega,1950-09-25,Panama,Featherweight,,,Orthodox,31,22,6,4,5,
415,Chris John,1979-09-14,"Banjarnegara, Central Java, Indonesia",Featherweight,5 ft 6+1⁄2 in (169 cm),69 in (175 cm),Orthodox,52,48,22,1,3,
416,Leigh Wood,1988-08-01,"Gedling, Nottinghamshire, England",Super-bantamweight/Featherweight,5 ft 7 in (170 cm),170 cm (67 in),Orthodox,31,28,17,3,,
417,Jesús Rojas,,,,,,,,,,,,
418,Ricardo Cardona,1952-11-09,"San Basilio, Colombia",Super bantamweight,5 ft 7+1⁄2 in (171 cm),70 in (178 cm),Orthodox,37,26,13,10,1,
419,Julio Gervacio,,,,,,,,,,,,
420,Luis Mendoza,,,Bantamweight/Super bantamweight/Featherweight/Super featherweight,,,Orthodox,47,38,20,7,2,
421,Enrique Sánchez,1972-07-16,"Mexico City, Mexico",Super bantamweight/Featherweight,1.73 m (5 ft 8 in),175 cm (69 in),Southpaw,37,30,21,3,4,0
422,Clarence Adams,,,,,,,,,,,,
423,Joe Lynch,1898-11-30,"New York, New York",Bantamweight,5 ft 6 in (1.68 m),66 in (168 cm),Orthodox,158,99,37,36,21,2
424,Park Chan-Yong,,,,,,,,,,,,
425,Eddie Cook,1966-12-21,"St. Louis, Missouri, USA",Bantamweight/Super bantamweight,5 ft 3 in (160 cm),,Southpaw,22,19,16,3,0,0
426,John Michael Johnson,,,,,,,,,,,,
427,Daorung Chuvatana,,,,,,,,,,,,
428,Victor Perez,1911-10-18,Tunisia,flyweight,155cm ,,,138,92,29,31,15,
429,Jackie Brown,,,,,,,,,,,,
430,Alfonso López,,,,,,,,,,,,
431,Luis Ibarra,1953-02-23,"Colón, Panama",flyweight,,,southpaw,31,26,9,5,,
432,Juan Herrera,,,,,,,,,,,,
433,José Bonilla,,,,,,,,,,,,
434,Jaime Rios,,,,,,,,,,,,
435,Juan Antonio Guzman,,,,,,,,,,,,
436,Pedro Flores,1951-01-14,"Guadalajara, Jalisco, Mexico",Light flyweight/Flyweight,5 ft 2 in (157 cm),70 in (178 cm),Orthodox,26,17,5,9,,
437,Lupe Madera,,,,,,,,,,,,
438,Francisco Quiróz,,,,,,,,,,,,
439,Carlos Murillo,1970-12-10,Panama,flyweight,155cm ,160 cm,Orthodox,50,38,29,11,1,
440,Keiji Yamaguchi,,,,,,,,,,,,
