,Name,Birthday,Place_of_birth,Weight,Height,Reach,Stance,Total Fights,Wins,Wins by KO,Losses,Draws,No Contests,Sex,Height_cm,Reach_cm,Country,Nationality,Sign,Weight_class
382,Donald Curry,1961-09-07,"Fort Worth, Texas, U.S.",Welterweight/Light middleweight/Middleweight,5 ft 10+1⁄2 in (179 cm)[1],72 in (183 cm)[1],Orthodox,40,34,25,6,,,M,179 ,183,USA,American,Virgo,welterweight
383,Lloyd Honeyghan,1960-04-22,"Saint Elizabeth, Jamaica",Welterweight/Light-middleweight,5 ft 9 in (175 cm)[1],68 in (173 cm)[1],Orthodox,48,43,30,5,,,M,175 ,173,Jamaica,Jamaican,Taurus,welterweight
384,Maurice Blocker,1963-05-15,"Washington, D.C., U.S.",Welterweight/Light middleweight,5 ft 11+1⁄4 in (181 cm)[1],74+1⁄4 in (189 cm)[1],Orthodox,40,36,20,4,,,M,181 ,189,USA,American,Taurus,welterweight
385,Vernon Forrest,1971-02-12,"Augusta, Georgia, U.S.",Light welterweight/Welterweight/Light middleweight,6 ft (183 cm)[1],72+1⁄2 in (184 cm)[1],Orthodox,45,41,29,3,,1,M,183 ,184,USA,American,Aquarius,welterweight
386,Michele Piccirillo,1970-01-29,"Modugno, Italy",Light welterweight/Welterweight/Light middleweight,5 ft 10+1⁄2 in (179 cm),71+1⁄2 in (182 cm),Orthodox,56,50,29,5,,1,M,179 ,182,Italy,Italian,Aquarius,welterweight
387,Zab Judah,1977-10-27,"Brownsville, Brooklyn, New York City, New York, U.S.",Light welterweight/Welterweight/Light middleweight,5 ft 7 in (170 cm)[1],72 in (183 cm)[1],Southpaw,56,44,30,10,,2,M,170 ,183,USA,American,Scorpio,welterweight
388,Kermit Cintrón,1979-10-22,"Carolina, Puerto Rico",Welterweight/Light middleweight,5 ft 11 in (180 cm),74 in (188 cm),Orthodox,49,39,30,6,3,1,M,180 ,188,Puerto Rico,American(Puerto Rican),Libra,welterweight
389,Antonio Margarito,1978-03-18,"Torrance, California, U.S.[2]",Welterweight/Light middleweight,5 ft 11 in (180 cm)[1],72 in (183 cm)[1],Orthodox,50,41,27,8,,1,M,180 ,183,USA,American,Pisces,welterweight
390,Joshua Clottey,1977-10-06,"Accra, Ghana",Light welterweight/Welterweight/Light middleweight,5 ft 8 in (173 cm),70 in (178 cm),Orthodox,47,41,24,5,,1,M,173 ,178,Ghana,Ghanaian,Libra,welterweight
391,Jan Zaveck,1976-03-13,"Trdobojci, SFR Yugoslavia(now Slovenia)",Welterweight/Light-middleweight,1.72 m (5 ft 8 in),,Orthodox,40,35,19,4,,1,M,172 ,,Slovenia,Slovenian,Pisces,welterweight
392,Andre Berto,1983-09-07,"Winter Haven, Florida, U.S.",Welterweight,5 ft 6+1⁄2 in (169 cm)[1],68+1⁄2 in (174 cm)[1],Orthodox,38,32,24,6,,,M,169 ,174,USA,American,Virgo,welterweight
393,Randall Bailey,1974-09-13,"Opa-locka, Florida, U.S.",Light welterweight/Welterweight,5 ft 9 in (175 cm),70 in (178 cm),Orthodox,56,46,37,9,,1,M,175 ,178,USA,American,Virgo,welterweight
394,Devon Alexander,1987-02-10,"St. Louis, Missouri, U.S.",Light welterweight/Welterweight/Light middleweight,5 ft 8+1⁄2 in (174 cm)[1],69 in (175 cm)[1],Southpaw,36,27,14,8,1,,M,174 ,175,USA,American,Aquarius,welterweight
395,Shawn Porter,1987-10-20,"Cleveland, Ohio, U.S.",Welterweight/Light middleweight,5 ft 7 in (170 cm)[1],69+1⁄2 in (177 cm)[1],Orthodox,36,31,17,4,1,,M,170 ,177,USA,American,Libra,welterweight
396,Kell Brook,1986-05-03,"Sheffield, South Yorkshire, England",Welterweight/Light-middleweight/Middleweight,5 ft 9 in (175 cm)[1],69 in (175 cm)[1],Orthodox,43,40,28,3,,,M,175 ,175,England,British,Taurus,welterweight
397,Errol Spence Jr.,1990-03-03,"Long Island, New York, U.S.",Welterweight,5 ft 9 in (175 cm)[1],72 in (183 cm)[1],Southpaw,29,28,22,1,,,M,175 ,183,USA,American,Pisces,welterweight
398,Terence Crawford,1987-09-28,"Omaha, Nebraska, U.S.",Lightweight/Light welterweight/Welterweight,5 ft 8 in (173 cm)[1],74 in (188 cm)[1],Southpaw,40,40,31,,,,M,173 ,188,USA,American,Libra,lightweight
399,Jaron Ennis,1997-06-26,"Philadelphia, Pennsylvania, U.S.",Welterweight,5 ft 10 in (178 cm),74 in (188 cm),Orthodox,32,31,28,,,1,M,178 ,188,USA,American,Cancer,welterweight
400,Aaron Pryor,1955-10-20,"Cincinnati, Ohio, U.S.",Light welterweight,5 ft 6 in (168 cm),69 in (175 cm),Orthodox,40,39,35,1,,,M,168 ,175,USA,American,Libra,
401,Joe Manley,1959-06-11,"Lima, Ohio",Light welterweight,,,,39,29,14,8,2,,M,,,USA,American,Gemini,
402,Buddy McGirt,1964-01-17,"Brentwood, New York, U.S.",Light welterweight/Welterweight/Light middleweight,5 ft 6+1⁄2 in (169 cm)[1],70+1⁄2 in (179 cm)[1],Orthodox,80,73,48,6,1,,M,169 ,179,USA,American,Capricorn,welterweight
403,Meldrick Taylor,1966-10-19,"Philadelphia, Pennsylvania, U.S.",Light welterweight/Welterweight/Light middleweight,5 ft 7+1⁄2 in (171 cm)[1],66 in (168 cm)[1],Orthodox,47,38,20,8,1,,M,171 ,168,USA,American,Libra,welterweight
404,Julio César Chávez,1962-07-12,"Obregón, Sonora, Mexico",Super featherweight/Lightweight/Light welterweight/Welterweight,5 ft 7+1⁄2 in (171 cm)[1],68 in (173 cm)[1],Orthodox,115,107,86,6,2,,M,171 ,173,Mexico,Mexican,Cancer,super featherweight
405,Pernell Whitaker,1964-01-02,"Norfolk, Virginia, U.S.",Lightweight/Light welterweight/Welterweight/Light middleweight,5 ft 6 in (168 cm)[1],69 in (175 cm)[1],Southpaw,46,40,17,4,1,1,M,168 ,175,USA,American,Capricorn,lightweight
406,Jake Rodríguez,1965-10-02,"Arroyo, Puerto Rico",Light welterweight/Welterweight/Light middleweight,5 ft 8 in (173 cm),,Southpaw,38,28,8,8,2,,M,173 ,,Puerto Rico,American(Puerto Rican),Libra,welterweight
407,Kostya Tszyu,1969-09-19,"Serov, Russian SFSR,Soviet Union",Light-welterweight,5 ft 7 in (170 cm)[1],67 in (170 cm)[1],Orthodox,34,31,25,2,,1,M,170 ,170,Russia,Russian,Virgo,
408,Vince Phillips,1963-07-23,"Pensacola, Florida, U.S.",Light welterweight/Welterweight/Light middleweight,5 ft 7+1⁄2 in (171 cm),70 in (178 cm),Orthodox,61,48,34,12,1,,M,171 ,178,USA,American,Leo,welterweight
409,Terron Millett,1968-06-28,,Welterweight/Light welterweight,5 ft 9 in (175 cm),70 in (178 cm),Orthodox,33,27,19,5,1,0,M,175 ,178,,,Cancer,welterweight
410,Juan Urango,1980-10-04,"Montería, Córdoba, Colombia",Light welterweight/Welterweight,,,Southpaw,28,24,19,3,1,,M,,,Colombia,Colombian,Libra,welterweight
411,Lovemore N'dou,1971-08-16,"Musina, South Africa",Super-featherweight/Lightweight/Light-welterweight/Welterweight/Light-middleweight,,,Orthodox,64,49,31,13,2,,M,,,South Africa,South African,Leo,super featherweight
412,Paulie Malignaggi,1980-11-23,"Bensonhurst, Brooklyn, U.S.[1]",Light welterweight/Welterweight,5 ft 8 in (173 cm),70 in (178 cm),,44,36,7,8,,,M,173 ,178,USA,American,Sagittarius,welterweight
413,Herman Ngoudjo,1979-06-25,"Douala, Cameroon",Light-welterweight,5 ft 9 in (175 cm),73 in (185 cm),Orthodox,22,18,10,4,,,M,175 ,185,Cameroon,Cameroonian,Cancer,
414,Lamont Peterson,1984-01-24,"Washington, D.C., U.S.",Light welterweight/Welterweight,5 ft 9 in (175 cm),72 in (183 cm),Orthodox,42,35,17,6,1,,M,175 ,183,USA,American,Aquarius,welterweight
415,César Cuenca,1981-01-18,"Tres Isletas, Chaco, Argentina",Light welterweight,5 ft 8 in (1.73 m),69 in (175 cm),Southpaw,54,48,2,4,,2,M,173 ,175,Argentina,Argentine,Capricorn,
416,Sergey Lipinets,1989-03-23,"Martuk, Kazakh SSR, Soviet Union (now Kazakhstan)",Light-welterweight/Welterweight,170 cm (5 ft 7 in),170 cm (67 in),Orthodox,21,17,13,3,1,,M,170 ,170.2,Kazakhstan,Kazakh,Aries,welterweight
417,Mikey Garcia,1987-12-15,"Oxnard, California, U.S.",Featherweight/Super featherweight/Lightweight/Light welterweight/Welterweight,5 ft 6 in (168 cm)[1],68 in (173 cm)[1],Orthodox,42,40,30,2,,,M,168 ,173,USA,American,Capricorn,featherweight
418,Ivan Baranchyk,1993-01-24,"Amursk, Russia",Light-welterweight/Welterweight,5 ft 8 in (173 cm),67+1⁄2 in (171 cm),Orthodox,23,20,13,3,,,M,173 ,171,Russia,Russian,Aquarius,welterweight
419,Subriel Matías,1992-03-31,"Fajardo, Puerto Rico",Light welterweight,5 ft 9 in (175 cm)[1],71 in (180 cm)[1],Orthodox,21,20,20,1,,,M,175 ,180,Puerto Rico,American(Puerto Rican),Aries,
420,Harry Arroyo,1957-10-25,"Youngstown, Ohio, USA",Lightweight/Light welterweight/Light middleweight,5 ft 10 in (178 cm),,Orthodox,51,40,30,11,0,0,M,178 ,,USA,American,Scorpio,lightweight
421,Greg Haugen,1960-08-31,"Auburn, Washington, U.S.",Lightweight/Light welterweight,5 ft 6 in (168 cm),67 in (170 cm),Orthodox,53,40,19,10,1,2,M,168 ,170,USA,American,Virgo,lightweight
422,Vinny Paz,1962-12-16,"Cranston, Rhode Island, U.S.",Lightweight/Light welterweight/Light middleweight/Super middleweight,5 ft 7+1⁄2 in (1.71 m),70+1⁄2 in (179 cm),Orthodox,60,50,30,10,,,M,171 ,179,USA,American,Capricorn,lightweight
423,Freddie Pendleton,1963-01-05,"Philadelphia, Pennsylvania",Lightweight,,,,78,47,34,26,5,,M,,,USA,American,Capricorn,lightweight
424,Rafael Ruelas,1971-04-26,"Yerbabuena, Jalisco,Mexico",Featherweight/Lightweight/Super lightweight,5 ft 11 in (1.80 m),71 in (180 cm),Orthodox,57,53,41,4,,,M,180 ,180,Mexico,Mexican,Taurus,featherweight
425,Oscar De La Hoya,1973-02-04,"East Los Angeles, California, U.S.",Super featherweight/Lightweight/Light welterweight/Welterweight/Light middleweight/Middleweight,5 ft 10+1⁄2 in (179 cm)[2],73 in (185 cm)[2],Orthodox,45,39,30,6,,,M,179 ,185,USA,American,Aquarius,super featherweight
426,Philip Holiday,1970-05-23,"Benoni, Gauteng, South Africa",Lightweight/Light-welterweight/Welterweight,5 ft 6 in (168 cm),68 in (173 cm),,47,39,22,7,1,,M,168 ,173,South Africa,South African,Gemini,lightweight
427,Shane Mosley,1971-09-07,"Lynwood, California, U.S.",Lightweight/Welterweight/Light middleweight,5 ft 9 in (175 cm)[1],74 in (188 cm)[1],Orthodox,61,49,41,10,1,1,M,175 ,188,USA,American,Virgo,lightweight
428,Paul Spadafora,1975-09-05,"Pittsburgh, Pennsylvania, U.S.",Lightweight/Light welterweight,5 ft 9 in (175 cm),69 in (175 cm),Southpaw,51,49,19,1,1,,M,175 ,175,USA,American,Virgo,lightweight
429,Jesús Chávez,1972-11-12,"Delicias, Chihuahua, Mexico",Featherweight/Super featherweight/Lightweight,5 ft 5 in (165 cm),65 in (165 cm),Orthodox,52,44,30,8,,,M,165 ,165,Mexico,Mexican,Scorpio,featherweight
430,Nate Campbell,1972-03-07,"Jacksonville, Florida, U.S.",Super featherweight/Lightweight/Light welterweight/Welterweight,5 ft 7 in (170 cm),70 in (178 cm),Orthodox,50,37,26,11,1,1,M,170 ,178,USA,American,Pisces,super featherweight
431,Miguel Vázquez,1987-01-06,"Guadalajara, Jalisco, Mexico",Lightweight/Light welterweight/Welterweight,5 ft 10 in (178 cm),72 in (183 cm),Orthodox,56,44,17,12,,,M,178 ,183,Mexico,Mexican,Capricorn,lightweight
432,Mickey Bey,1983-06-27,"Cleveland, Ohio, U.S.",Lightweight,5 ft 9 in (175 cm),69 in (175 cm),Orthodox,28,23,11,3,1,1,M,175 ,175,USA,American,Cancer,lightweight
433,Rances Barthelemy,1986-06-25,"Arroyo Naranjo, Cuba",Super featherweight/Lightweight/Light welterweight,1.78 m (5 ft 10 in)[1],184 cm (72 in)[1],Orthodox,34,30,15,2,1,1,M,178 ,182.9,Cuba,Cuban,Cancer,super featherweight
434,Robert Easter Jr.,1991-01-26,"Toledo, Ohio, U.S.",Lightweight,5 ft 11 in (180 cm)[1],76 in (193 cm)[1],Orthodox,25,23,14,1,1,,M,180 ,193,USA,American,Aquarius,lightweight
435,Richard Commey,1987-03-10,"Accra, Ghana",Lightweight,5 ft 8 in (173 cm),71 in (180 cm),Orthodox,36,30,27,5,1,,M,173 ,180,Ghana,Ghanaian,Pisces,lightweight
436,Teófimo López,1997-07-30,"Brooklyn, New York, U.S.",Lightweight/Light welterweight,5 ft 8 in (173 cm)[1],68+1⁄2 in (174 cm)[1],Orthodox,21,20,13,1,,,M,173 ,174,USA,American,Leo,lightweight
437,Devin Haney,1998-11-17,"San Francisco, California, U.S.[2]",Lightweight/Light welterweight,5 ft 8 in (173 cm)[1],72 in (183 cm)[1],Orthodox,31,31,15,,,,M,173 ,183,USA,American,Scorpio,lightweight
438,Yuh Hwan-kil,1962-09-23,"Namhae, Gyeongsangnam-do, South Korea",Featherweight/Junior-lightweight,5 ft 6 in (1.68 m),,,31,26,11,2,3,,M,168 ,,South Korea,South Korean,Libra,featherweight
439,Barry Michael,,,Super Featherweight,,,,60,48,15,9,3,0,M,,,,,Sagittarius,super featherweight
440,Rocky Lockridge,1959-01-10,"Tacoma, Washington, U.S.",Super featherweight/Featherweight,5 ft 6+1⁄2 in (169 cm),68 in (173 cm),Orthodox,53,44,36,9,,,M,169 ,173,USA,American,Capricorn,featherweight
441,John John Molina,1965-03-17,"Fajardo, Puerto Rico",Lightweight/Super featherweight,5 ft 7 in (170 cm),67 in (170 cm),Orthodox,59,52,33,7,,,M,170 ,170,Puerto Rico,American(Puerto Rican),Pisces,super featherweight
442,Tracy Harris Patterson,1964-12-26,"Grady, Alabama, U.S.",Super bantamweight/Super featherweight,5 ft 5+1⁄2 in (166 cm),67+1⁄2 in (171 cm),Orthodox,73,63,43,8,1,,M,166 ,171,USA,American,Aquarius,super bantamweight
443,Arturo Gatti,1972-04-15,"Montreal, Quebec, Canada",Super featherweight/Light welterweight/Welterweight,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Orthodox,49,40,31,9,,,M,173 ,173,Canada,Canadian,Aries,super featherweight
444,Diego Corrales,1977-08-25,"Columbia, South Carolina, U.S.",Super featherweight/Lightweight,5 ft 10+1⁄2 in (179 cm)[1],70 in (178 cm)[1],Orthodox,45,40,33,5,,,M,179 ,178,USA,American,Virgo,super featherweight
445,Steve Forbes,1947-07-18,"Morristown, New Jersey, U.S.",,,,,,,,,,,M,,,USA,American,Cancer,
446,Erik Morales,1976-09-01,"Tijuana, Baja California, Mexico",Super bantamweight/Featherweight/Super featherweight/Lightweight/Light welterweight/Welterweight,5 ft 8 in (173 cm)[1],72 in (183 cm)[1],Orthodox,61,52,36,9,,,M,173 ,183,Mexico,Mexican,Virgo,super bantamweight
447,Robbie Peden,1973-11-11,"Brisbane, Queensland, Australia",,1.73 m (5 ft 8 in),175 cm (69 in),Orthodox,29,25,14,4,0,,M,173 ,175.3,Australia,Australian,Scorpio,
448,Gairy St. Clair,1975-02-02,"Georgetown, Guyana",Junior Lightweight,,,Orthodox,60,46,18,12,2,0,M,,,Guyana,Guyanese,Aquarius,
449,Mzonke Fana,1973-10-29,"Qumbu, South Africa",Super featherweight/Lightweight,5 ft 7 in (170 cm),70 in (178 cm),Orthodox,51,38,16,13,,,M,170 ,178,South Africa,South African,Scorpio,super featherweight
450,Robert Guerrero,1983-03-27,"Gilroy, California, U.S.",Featherweight/Super featherweight/Lightweight/Welterweight,5 ft 8 in (173 cm)[1],70 in (178 cm)[1],Southpaw,47,38,20,6,1,2,M,173 ,178,USA,American,Aries,featherweight
451,Juan Carlos Salgado,1984-12-20,"Mexico City, Mexico",Featherweight/Super featherweight/Lightweight/Light welterweight,5 ft 9 in (175 cm),69+1⁄2 in (177 cm),Orthodox,40,28,17,10,1,1,M,175 ,177,Mexico,Mexican,Capricorn,featherweight
452,Argenis Mendez,1986-07-03,"San Juan, Dominican Republic",Super featherweight/Lightweight,5 ft 9 in (175 cm),70 in (178 cm),Orthodox,36,25,12,7,3,1,M,175 ,178,Dominican Republic,Dominican,Cancer,super featherweight
453,Gervonta Davis,1994-11-07,"Baltimore, Maryland, U.S.",Super featherweight/Lightweight/Light welterweight,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Southpaw,29,29,27,,,,M,165 ,171,USA,American,Scorpio,super featherweight
454,Tevin Farmer,1990-07-30,"Philadelphia, Pennsylvania, U.S.",Super featherweight/Lightweight,5 ft 6 in (168 cm),67 in (170 cm),Southpaw,39,32,7,5,1,1,M,168 ,170,USA,American,Leo,super featherweight
455,Joseph Diaz,1992-11-23,"South El Monte, California, U.S.",Featherweight/Super featherweight/Lightweight/Light welterweight,5 ft 6 in (168 cm),64 in (163 cm),Southpaw,39,33,15,5,1,,M,168 ,163,USA,American,Sagittarius,featherweight
456,Kenichi Ogawa,1988-02-01,"Toyohashi, Japan",Super-featherweight,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Orthodox,32,28,19,2,1,1,M,173 ,173,Japan,Japanese,Aquarius,super featherweight
457,Joe Cordina,1991-12-01,"Cardiff, Wales",Super-featherweight/Lightweight,5 ft 9 in (175 cm),69 in (175 cm),,17,17,9,,,,M,175 ,175,Wales,British,Capricorn,super featherweight
458,Oh Min-keun,1962-08-15,"Seoul, South Korea",Featherweight,,,Orthodox,21,16,6,5,,,M,,,South Korea,South Korean,Leo,featherweight
459,Chung Ki-young,1959-11-23,"Gyeongsangbuk-do, South Korea",Featherweight,,,,38,31,10,5,2,,M,,,South Korea,South Korean,Sagittarius,featherweight
460,Calvin Grove,1962-08-05,"Coatesville, Pennsylvania, U.S.",Featherweight/Super featherweight/Lightweight,5 ft 7 in (170 cm),70 in (178 cm),Orthodox,59,49,18,10,0,0,M,170 ,178,USA,American,Leo,featherweight
461,Jorge Páez,1965-10-27,"Mexicali, Baja California, Mexico",Featherweight/Super featherweight/Lightweight,5 ft 5 in (1.65 m),69 in (175 cm),Orthodox,98,79,52,14,5,,M,165 ,175,Mexico,Mexican,Scorpio,featherweight
462,Héctor Lizárraga,1966-09-01,Mexico,Welterweight/Lightweight/Super featherweight/Featherweight,1.82 m (6 ft 0 in),189 cm (74 in),Orthodox,55,38,21,12,5,0,M,182 ,188.0,Mexico,Mexican,Virgo,featherweight
463,Paul Ingle,1972-06-22,"Scarborough, North Yorkshire, England",Featherweight,5 ft 5 in (165 cm)[1],66 in (168 cm)[1],Orthodox,25,23,16,2,,,M,165 ,168,England,British,Cancer,featherweight
464,Mbulelo Botile,1972-07-23,"Duncan Village, Buffalo City, South Africa",Bantamweight/Featherweight/Super-featherweight,5 ft 5 in (165 cm)[1],67 in (170 cm)[1],Orthodox,31,27,16,4,,,M,165 ,170,South Africa,South African,Leo,bantamweight
465,Frank Toledo,1970-04-12,"Newark, New Jersey",Featherweight,,,,51,43,18,7,1,,M,,,USA,American,Aries,featherweight
466,Johnny Tapia,1967-02-13,"Albuquerque, New Mexico, U.S.",Super flyweight/Bantamweight/Featherweight/Lightweight,5 ft 6 in (168 cm)[1],62+1⁄2 in (159 cm)[1],Orthodox,66,59,30,5,2,,M,168 ,159,USA,American,Aquarius,super flyweight
467,Juan Manuel Márquez,1973-08-23,"Iztacalco, Mexico City, Mexico",Featherweight/Super featherweight/Lightweight/Light welterweight/Welterweight,5 ft 7 in (170 cm),67 in (170 cm),Orthodox,64,56,40,7,1,,M,170 ,170,Mexico,Mexican,Virgo,featherweight
468,Valdemir Pereira,1974-11-15,"Cruz das Almas, Bahia, Brazil",Featherweight,5 ft 5 in (1.65 m),,Orthodox,25,24,15,1,,,M,165 ,,Brazil,Brazilian,Scorpio,featherweight
469,Eric Aiken,1980-04-08,"Marysville, Ohio, USA",Featherweight,5 ft 7 in (170 cm),71 in (180 cm),Orthodox,29,16,12,11,1,1,M,170 ,180,USA,American,Aries,featherweight
470,Orlando Salido,1980-11-16,"Ciudad Obregón, Sonora, Mexico",Featherweight/Super featherweight,5 ft 6 in (168 cm),67 in (170 cm),Orthodox,63,44,31,14,4,1,M,168 ,170,Mexico,Mexican,Scorpio,featherweight
471,Yuriorkis Gamboa,1981-12-23,"Guantánamo, Cuba",Featherweight/Super featherweight/Lightweight,5 ft 5+1⁄2 in (166 cm),65 in (165 cm),Orthodox,35,30,18,5,,,M,166 ,165,Cuba,Cuban,Aquarius,featherweight
472,Evgeny Gradovich,1986-08-07,"Igrim, Khanty-Mansi Autonomous Okrug, Russian SFSR, Soviet Union",Super bantamweight/Featherweight/Super featherweight,1.73 m (5 ft 8 in),170 cm (67 in),Orthodox,26,23,9,2,1,,M,173 ,170.2,Russia,Russian,Leo,super bantamweight
473,Lee Selby,1987-02-14,"Bala Town, Wales",Featherweight/Lightweight,5 ft 8 in (173 cm)[1],69+1⁄2 in (177 cm)[1],Orthodox,32,28,9,4,,,M,173 ,177,Wales,British,Aquarius,featherweight
474,Josh Warrington,1990-11-14,"Leeds, England",Featherweight,5 ft 7 in (170 cm)[1],67 in (170 cm)[1],Orthodox,35,31,8,3,1,,M,170 ,170,England,British,Scorpio,featherweight
475,Kiko Martínez,1986-03-07,"Elche, Baix Vinalopó,Alicante, Spain",Super-bantamweight/Featherweight/Super-featherweight,165 cm (5 ft 5 in),168 cm (66 in),Orthodox,58,44,31,12,2,,M,165 ,167.6,Spain,Spanish,Pisces,super bantamweight
476,Luis Alberto Lopez,1993-08-21,"Mexicali, Baja California, Mexico",Featherweight,5 ft 4 in (163 cm),66+1⁄2 in (169 cm),Orthodox,32,30,17,2,,,M,163 ,169,Mexico,Mexican,Leo,featherweight
477,Bobby Berna,1961-05-19,"Quezon City, Philippines",Bantamweight/Super bantamweight,5 ft 6 in (168 cm),67 in (170 cm),Southpaw,38,31,17,6,1,,M,168 ,170,Philippines,Filipino,Taurus,bantamweight
478,Suh Sung-in,1959-07-18,"Seoul, South Korea",Super bantamweight,,,,27,22,9,5,,,M,,,South Korea,South Korean,Cancer,super bantamweight
479,Lee Seung-hoon,1988-03-06,,,1.77 m (5 ft 10 in)[1],,,,,,,,,M,177 ,,,,Pisces,
480,José Sanabria,1963-02-16,"Morón, Venezuela",Super bantamweight,5 ft 8 in (173 cm),65 in (165 cm),Orthodox,40,22,12,15,3,,M,173 ,165,Venezuela,Venezuelan,Aquarius,super bantamweight
481,Fabrice Benichou,1965-04-05,"Madrid, Spain",Bantamweight/Super Bantamweight/Featherweight,5 ft 3 in (1.60 m),,,66,46,24,18,2,,M,160 ,,Spain,Spanish,Aries,bantamweight
482,Welcome Ncita,1965-10-25,"Mdantsane, South Africa",,5 ft 5.5 in (1.66 m),,,44,40,21,3,1,,M,166 ,,South Africa,South African,Scorpio,
483,Kennedy McKinney,1966-01-10,"Hernando, Mississippi, U.S.",Super bantamweight,5 ft 7 in (170 cm),68 in (173 cm),Orthodox,43,36,19,6,1,,M,170 ,173,USA,American,Capricorn,super bantamweight
484,Lehlo Ledwaba,1971-07-27,"Soweto, Gauteng,South Africa",Bantamweight/Super bantamweight/Featherweight/Super featherweight,5 ft 5 in (165 cm)[1],69 in (175 cm)[1],Orthodox,43,36,23,6,1,,M,165 ,175,South Africa,South African,Leo,bantamweight
485,Israel Vázquez,1977-12-25,"Mexico City, Mexico",Super bantamweight/Featherweight,5 ft 4+1⁄2 in (164 cm),66+1⁄2 in (169 cm),Orthodox,49,44,32,5,,,M,164 ,169,Mexico,Mexican,Aquarius,super bantamweight
486,Steve Molitor,1980-04-04,"Sarnia, Ontario, Canada",Bantamweight/Super-bantamweight,5 ft 7 in (170 cm),,Southpaw,37,34,12,3,,,M,170 ,,Canada,Canadian,Aries,bantamweight
487,Celestino Caballero,1976-06-21,"Colón, Panama",Super bantamweight/Featherweight/Super featherweight,5 ft 11 in (180 cm),73+1⁄2 in (187 cm),Orthodox,43,37,24,6,,,M,180 ,187,Panama,Panamanian,Cancer,super bantamweight
488,Jeffrey Mathebula,1979-06-22,"Malamulele, South Africa",Super Bantamweight,5 ft 10 in (178 cm)[1],,Orthodox,34,27,14,5,2,,M,178 ,,South Africa,South African,Cancer,super bantamweight
489,Carl Frampton,1987-02-21,"Tigers Bay, Belfast,Northern Ireland",Super-bantamweight/Featherweight/Super-featherweight/Lightweight,5 ft 5 in (165 cm)[1],62 in (157 cm)[1],Orthodox,31,28,16,3,,,M,165 ,157,Ireland,Irish,Pisces,super bantamweight
490,Jonathan Guzmán,1989-07-17,"Boca Chica, Santo Domingo,Dominican Republic",Bantamweight/Super bantamweight,5 ft 5+1⁄2 in (166 cm),68+1⁄2 in (174 cm),Orthodox,28,25,24,2,,1,M,166 ,174,Dominican Republic,Dominican,Cancer,bantamweight
491,Yukinori Oguni,1988-05-19,"Akō, Hyōgo, Japan",Super bantamweight,5 ft 7+1⁄2 in (171 cm),69+1⁄2 in (177 cm),Orthodox,26,21,8,2,3,,M,171 ,177,Japan,Japanese,Taurus,super bantamweight
492,Ryosuke Iwasa,1989-12-26,"Kashiwa, Chiba, Japan",Bantamweight/Super-bantamweight,171 cm (5 ft 7 in),180 cm (71 in),Southpaw,33,28,18,5,,,M,171 ,180.3,Japan,Japanese,Aquarius,bantamweight
493,TJ Doheny,1986-11-02,"Portlaoise, Ireland",Super-bantamweight,5 ft 5+1⁄2 in (166 cm),68 in (173 cm),Southpaw,29,25,19,4,,,M,166 ,173,Ireland,Irish,Scorpio,super bantamweight
494,Murodjon Akhmadaliev,1994-11-02,"Chust, Uzbekistan",Super-bantamweight,5 ft 5+1⁄2 in (166 cm)[1],68 in (173 cm)[1],Southpaw,13,12,9,1,,,M,166 ,173,Uzbekistan,Uzbek,Scorpio,super bantamweight
495,Marlon Tapales,1992-03-23,"Tubod, Lanao del Norte, Philippines",Light-flyweight/Flyweight/Super-flyweight/Bantamweight/Super-bantamweight,5 ft 4 in (163 cm),67+1⁄2 in (171 cm),Southpaw,41,37,19,4,,,M,163 ,171,Philippines,Filipino,Aries,light flyweight
496,Naoya Inoue,1993-04-10,"Zama, Kanagawa, Japan",Light flyweight/Super flyweight/Bantamweight/Super bantamweight,5 ft 5.5 in (166 cm)[1],67.5 in (171 cm)[1],Orthodox,26,26,23,,,,M,166 ,171,Japan,Japanese,Aries,light flyweight
497,Satoshi Shingaki,1964-02-21,"Itoman, Okinawa Island, USCAR(nowadays Itoman, Okinawa Prefecture, Japan)",Bantamweight,,,Southpaw,15,11,8,3,1,,M,,,Japan,Japanese,Pisces,bantamweight
498,Jeff Fenech,1964-05-28,"Sydney, New South Wales, Australia",Super-flyweight/Bantamweight/Super-bantamweight/Featherweight/Super-featherweight/Lightweight,5 ft 7 in (170 cm)[1],66+1⁄2 in (169 cm)[1],Orthodox,33,28,21,3,1,,M,170 ,169,Australia,Australian,Gemini,super flyweight
499,Kelvin Seabrooks,1963-03-10,"Charlotte, North Carolina, U.S.",Bantamweight/Super bantamweight,5 ft 6 in (168 cm),65+1⁄2 in (166 cm),Orthodox,50,28,23,22,,,M,168 ,166,USA,American,Pisces,bantamweight
500,Orlando Canizales,1965-11-25,"Laredo, Webb County, Texas, U.S.",Bantamweight/Super bantamweight/Featherweight,5 ft 4 in (163 cm)[1],65 in (165 cm)[1],Orthodox,57,50,37,5,1,1,M,163 ,165,USA,American,Sagittarius,bantamweight
