,Name,Birthday,Place_of_birth,Weight,Height,Reach,Stance,Total Fights,Wins,Wins by KO,Losses,Draws,No Contests,Sex,Height_cm,Reach_cm,Country
340,Lindell Holmes,1957-04-04,"Toledo, Ohio, USA",Middleweight/Super middleweight,5 ft 8 in (173 cm),72 in (183 cm),Orthodox,54,45,36,8,,1,M,173 ,183 ,USA
341,Darrin Van Horn,1968-09-07,"Cincinnati, Ohio, U.S.",Light middleweight/Super middleweight,5 ft 11 in (180 cm),73 in (185 cm),Orthodox,57,54,30,3,,,M,180 ,185 ,USA
342,Iran Barkley,1960-05-06,"New York City, U.S.",Middleweight/Super middleweight/Light heavyweight/Heavyweight,6 ft 1 in (185 cm)[1],74 in (188 cm)[1],Orthodox,63,43,27,19,1,,M,185 ,188 ,USA
343,Sven Ottke,1967-06-03,,Super-middleweight/Light-heavyweight,1.78 m (5 ft 10 in),175 cm (69 in),Orthodox,,256,,47,5,,M,178 ,69 in,unknown
344,Joe Calzaghe,1972-03-23,"Hammersmith, London, England",Super-middleweight/Light-heavyweight,6 ft 0 in (183 cm)[1],73 in (185 cm),Southpaw,46,46,32,,,,M,183 ,185 ,England
345,Alejandro Berrio,1976-08-07,"Cartagena, Colombia",Middleweight/Super middleweight/Light heavyweight/Cruiserweight,6 ft 1 in (185 cm),76 in (193 cm),Orthodox,58,41,34,17,,,M,185 ,193 ,Colombia
346,Lucian Bute,1980-02-28,"Pechea, Galați, Socialist Republic of Romania",Super-middleweight/Light-heavyweight,6 ft 1+1⁄2 in (187 cm),72 in (183 cm),Southpaw,37,32,25,5,,,M,187 ,183 ,Romania
347,Carl Froch,1977-07-02,"Nottingham, England",Super-middleweight,6 ft 1 in (185 cm)[1],75 in (191 cm)[1],Orthodox,35,33,24,2,,,M,185 ,191 ,England
348,James DeGale,1986-02-03,"Hammersmith, West London,England",Super-middleweight,6 ft 1 in (185 cm)[1],74 in (188 cm)[1],Southpaw,29,25,15,3,1,,M,185 ,188 ,England
349,Caleb Truax,1983-09-14,"Osseo, Minnesota, U.S.",Middleweight/Super middleweight,6 ft 1 in (185 cm),75 in (191 cm),Orthodox,40,31,19,6,2,1,M,185 ,191 ,USA
350,José Uzcátegui,1990-12-24,"El Vigia, Mérida, Venezuela",Middleweight/Super middleweight/Light heavyweight,6 ft 2 in (188 cm)[1],76+1⁄2 in (194 cm)[1],Orthodox,37,32,27,5,,,M,188 ,194 ,Venezuela
351,Caleb Plant,1992-07-08,"Ashland City, Tennessee, U.S.",Super middleweight,6 ft 1 in (185 cm),74 in (188 cm),Orthodox,24,22,13,2,,,M,185 ,188 ,USA
352,Canelo Álvarez,1990-07-18,"Guadalajara, Jalisco, Mexico",Welterweight/Light middleweight/Middleweight/Super middleweight/Light heavyweight,5 ft 8 in (173 cm)[1],70+1⁄2 in (179 cm)[1],Orthodox,64,60,39,2,2,,M,173 ,179 ,Mexico
353,Marvin Hagler,1954-05-23,"Newark, New Jersey, U.S.",Middleweight,5 ft 9 in (175 cm)[1],75 in (191 cm)[1],Southpaw,67,62,52,3,2,,M,175 ,191 ,USA
354,Michael Nunn,1963-04-14,"Davenport, Iowa, U.S.",Middleweight/Super middleweight/Light heavyweight,6 ft 2 in (188 cm)[1],77 in (196 cm)[1],Southpaw,62,58,38,4,,,M,188 ,196 ,USA
355,Jermain Taylor,1978-08-11,"Little Rock, Arkansas, U.S.",Middleweight/Super middleweight,6 ft 1 in (185 cm)[1],78 in (198 cm)[1],Orthodox,38,33,20,4,1,,M,185 ,198 ,USA
356,Arthur Abraham,1980-02-20,"Yerevan, Armenian SSR,Soviet Union",Middleweight/Super-middleweight,5 ft 9 in (175 cm)[1],72 in (183 cm)[1],Orthodox,53,47,30,6,,,M,175 ,183 ,Armenia
357,Sebastian Sylvester,1980-07-09,"Greifswald, East Germany",Middleweight,5 ft 7.5 in (171 cm),,Orthodox,40,34,16,5,1,,M,171 ,,Germany
358,Darren Barker,1982-05-19,"Chipping Barnet,London, England",Middleweight,6 ft 0+1⁄2 in (184 cm),73 in (185 cm),Orthodox,28,26,16,2,,,M,184 ,185 ,England
359,Felix Sturm,1979-01-31,"Leverkusen, West Germany",Middleweight/Super-middleweight,1.81 m (5 ft 11+1⁄2 in)[1],185 cm (73 in)[1],Orthodox,52,42,18,7,3,,M,181 ,73 in,Germany
360,Sam Soliman,1973-11-13,"Melbourne, Victoria, Australia",Light-middleweight/Middleweight/Super-middleweight/Light-heavyweight/Cruiserweight,5 ft 9 in (175 cm)[1],71+1⁄2 in (182 cm)[1],Orthodox,66,49,19,17,1,1,M,175 ,182 ,Australia
361,Sergiy Derevyanchenko,1985-10-31,"Feodosiya, Crimean Oblast, Ukrainian SSR, Soviet Union(now Feodosia, Ukraine)",Middleweight,5 ft 9 in (175 cm),68+1⁄2 in (174 cm),,19,14,10,5,,,M,175 ,174 ,Ukraine
362,Vincenzo Gualtieri,1993-01-04,"Wuppertal, Germany",Middleweight,5 ft 10+1⁄2 in (179 cm),,Orthodox,23,21,7,1,1,,M,179 ,,Germany
363,Janibek Alimkhanuly,1993-04-01,"Almaty, Kazakhstan",Middleweight,182 cm (6 ft 0 in),71+1⁄2 in (182 cm),Southpaw,15,15,10,,,,M,182 ,182 ,Kazakhstan
364,Mark Medal,1957-06-10,"Manhattan, New York, U.S.",Light middleweight,5 ft 11+1⁄2 in (182 cm),79 in (201 cm),Orthodox,28,24,20,3,1,,M,182 ,201 ,USA
365,Buster Drayton,1952-03-02,"Philadelphia, Pennsylvania, U.S.",Light middleweight/Middleweight,5 ft 11 in (180 cm),74 in (188 cm),Orthodox,57,40,28,15,1,1,M,180 ,188 ,USA
366,Vincent Pettway,1965-11-09,"Baltimore, Maryland, U.S.",Light middleweight,5 ft 8+1⁄2 in (174 cm),,Orthodox,51,43,32,7,1,,M,174 ,,USA
367,Paul Vaden,1967-12-29,"San Diego, California, U.S.",Light-middleweight/Middleweight,6 ft 1+1⁄2 in (187 cm),75 in (191 cm),,32,29,16,3,,,M,187 ,191 ,USA
368,Raúl Márquez,1971-08-28,"Valle Hermoso, Tamaulipas, Mexico",Light middleweight/Middleweight,5 ft 10+1⁄2 in (179 cm),74 in (188 cm),Southpaw,47,41,29,4,1,1,M,179 ,188 ,Mexico
369,Luis Ramón Campas,1971-08-06,"Navojoa, Sonora, Mexico",Welterweight/Light middleweight/Middleweight,5 ft 7+1⁄2 in (171 cm)[1],68 in (173 cm)[1],Orthodox,128,108,83,17,3,,M,171 ,173 ,Mexico
370,Fernando Vargas,1977-12-07,"Oxnard, California, U.S.",Light middleweight/Super middleweight,5 ft 10 in (178 cm)[1],74 in (188 cm)[1],Orthodox,31,26,22,5,,,M,178 ,188 ,USA
371,Félix Trinidad,1973-01-10,"Fajardo, Puerto Rico",Welterweight/Light middleweight/Middleweight,5 ft 11 in (180 cm)[1],72 in (183 cm)[1],Orthodox,45,42,35,3,,,M,180 ,183 ,Puerto Rico
372,Winky Wright,1971-11-26,"Washington, D.C., U.S.",Welterweight/Light middleweight/Middleweight/Light heavyweight,5 ft 10.5 in (179 cm)[1],73 in (185 cm)[1],Southpaw,58,51,25,6,1,,M,179 ,185 ,USA
373,Verno Phillips,1969-11-29,"Belize City, Belize",Light middleweight/Middleweight,5 ft 7 in (170 cm),69 in (175 cm),Orthodox,55,42,21,11,1,1,M,170 ,175 ,Belize
374,Kassim Ouma,1978-12-12,"Kampala, Uganda",Light middleweight/Middleweight,,,Southpaw,49,29,18,18,1,1,M,,,Uganda
375,Roman Karmazin,1973-01-02,"Kuznetsk, Russia",Light middleweight/Middleweight,5 ft 11+1⁄2 in (182 cm),72 in (183 cm),Orthodox,48,40,26,5,2,1,M,182 ,183 ,Russia
376,Cory Spinks,1978-02-20,"St. Louis, Missouri, U.S.",Light welterweight/Welterweight/Light middleweight/Middleweight,5 ft 9+1⁄2 in (177 cm),71 in (180 cm),Southpaw,47,39,11,8,,,M,177 ,180 ,USA
377,Deandre Latimore,1985-08-31,"St. Louis, Missouri, U.S.",Light middleweight,5 ft 9 in (175 cm),69 in (175 cm),Southpaw,27,23,17,4,,,M,175 ,175 ,USA
378,Cornelius Bundrage,1973-04-25,"Detroit, Michigan, U.S.",Light middleweight,5 ft 6 in (168 cm),72 in (183 cm),Orthodox,44,37,21,6,,1,M,168 ,183 ,USA
379,Ishe Smith,1978-07-22,"Las Vegas, Nevada, U.S.",Welterweight/Light middleweight/Middleweight,5 ft 10 in (178 cm),71 in (180 cm),Orthodox,40,29,12,11,,,M,178 ,180 ,USA
380,Jermall Charlo,1990-05-19,"Lafayette, Louisiana, U.S.",Light middleweight/Middleweight,6 ft 0 in (183 cm)[1],74 in (188 cm)[1],Orthodox,33,33,22,,,,M,183 ,188 ,USA
381,Jermell Charlo,1990-05-19,"Lafayette, Louisiana, U.S.",Light middleweight/Super middleweight,5 ft 11 in (180 cm)[1],73 in (185 cm)[1],Orthodox,38,35,19,2,1,,M,180 ,185 ,USA
382,Donald Curry,1961-09-07,"Fort Worth, Texas, U.S.",Welterweight/Light middleweight/Middleweight,5 ft 10+1⁄2 in (179 cm)[1],72 in (183 cm)[1],Orthodox,40,34,25,6,,,M,179 ,183 ,USA
383,Lloyd Honeyghan,1960-04-22,"Saint Elizabeth, Jamaica",Welterweight/Light-middleweight,5 ft 9 in (175 cm)[1],68 in (173 cm)[1],Orthodox,48,43,30,5,,,M,175 ,173 ,Jamaica
384,Maurice Blocker,1963-05-15,"Washington, D.C., U.S.",Welterweight/Light middleweight,5 ft 11+1⁄4 in (181 cm)[1],74+1⁄4 in (189 cm)[1],Orthodox,40,36,20,4,,,M,181 ,189 ,USA
385,Vernon Forrest,1971-02-12,"Augusta, Georgia, U.S.",Light welterweight/Welterweight/Light middleweight,6 ft (183 cm)[1],72+1⁄2 in (184 cm)[1],Orthodox,45,41,29,3,,1,M,183 ,184 ,USA
386,Michele Piccirillo,1970-01-29,"Modugno, Italy",Light welterweight/Welterweight/Light middleweight,5 ft 10+1⁄2 in (179 cm),71+1⁄2 in (182 cm),Orthodox,56,50,29,5,,1,M,179 ,182 ,Italy
387,Zab Judah,1977-10-27,"Brownsville, Brooklyn, New York City, New York, U.S.",Light welterweight/Welterweight/Light middleweight,5 ft 7 in (170 cm)[1],72 in (183 cm)[1],Southpaw,56,44,30,10,,2,M,170 ,183 ,USA
388,Kermit Cintrón,1979-10-22,"Carolina, Puerto Rico",Welterweight/Light middleweight,5 ft 11 in (180 cm),74 in (188 cm),Orthodox,49,39,30,6,3,1,M,180 ,188 ,Puerto Rico
389,Antonio Margarito,1978-03-18,"Torrance, California, U.S.[2]",Welterweight/Light middleweight,5 ft 11 in (180 cm)[1],72 in (183 cm)[1],Orthodox,50,41,27,8,,1,M,180 ,183 ,USA
390,Joshua Clottey,1977-10-06,"Accra, Ghana",Light welterweight/Welterweight/Light middleweight,5 ft 8 in (173 cm),70 in (178 cm),Orthodox,47,41,24,5,,1,M,173 ,178 ,Ghana
391,Jan Zaveck,1976-03-13,"Trdobojci, SFR Yugoslavia(now Slovenia)",Welterweight/Light-middleweight,1.72 m (5 ft 8 in),,Orthodox,40,35,19,4,,1,M,172 ,,Slovenia
392,Andre Berto,1983-09-07,"Winter Haven, Florida, U.S.",Welterweight,5 ft 6+1⁄2 in (169 cm)[1],68+1⁄2 in (174 cm)[1],Orthodox,38,32,24,6,,,M,169 ,174 ,USA
393,Randall Bailey,1974-09-13,"Opa-locka, Florida, U.S.",Light welterweight/Welterweight,5 ft 9 in (175 cm),70 in (178 cm),Orthodox,56,46,37,9,,1,M,175 ,178 ,USA
394,Devon Alexander,1987-02-10,"St. Louis, Missouri, U.S.",Light welterweight/Welterweight/Light middleweight,5 ft 8+1⁄2 in (174 cm)[1],69 in (175 cm)[1],Southpaw,36,27,14,8,1,,M,174 ,175 ,USA
395,Shawn Porter,1987-10-20,"Cleveland, Ohio, U.S.",Welterweight/Light middleweight,5 ft 7 in (170 cm)[1],69+1⁄2 in (177 cm)[1],Orthodox,36,31,17,4,1,,M,170 ,177 ,USA
396,Kell Brook,1986-05-03,"Sheffield, South Yorkshire, England",Welterweight/Light-middleweight/Middleweight,5 ft 9 in (175 cm)[1],69 in (175 cm)[1],Orthodox,43,40,28,3,,,M,175 ,175 ,England
397,Errol Spence Jr.,1990-03-03,"Long Island, New York, U.S.",Welterweight,5 ft 9 in (175 cm)[1],72 in (183 cm)[1],Southpaw,29,28,22,1,,,M,175 ,183 ,USA
398,Terence Crawford,1987-09-28,"Omaha, Nebraska, U.S.",Lightweight/Light welterweight/Welterweight,5 ft 8 in (173 cm)[1],74 in (188 cm)[1],Southpaw,40,40,31,,,,M,173 ,188 ,USA
399,Jaron Ennis,1997-06-26,"Philadelphia, Pennsylvania, U.S.",Welterweight,5 ft 10 in (178 cm),74 in (188 cm),Orthodox,32,31,28,,,1,M,178 ,188 ,USA
400,Aaron Pryor,1955-10-20,"Cincinnati, Ohio, U.S.",Light welterweight,5 ft 6 in (168 cm),69 in (175 cm),Orthodox,40,39,35,1,,,M,168 ,175 ,USA
401,Joe Manley,1959-06-11,"Lima, Ohio",Light welterweight,,,,39,29,14,8,2,,M,,,USA
402,Buddy McGirt,1964-01-17,"Brentwood, New York, U.S.",Light welterweight/Welterweight/Light middleweight,5 ft 6+1⁄2 in (169 cm)[1],70+1⁄2 in (179 cm)[1],Orthodox,80,73,48,6,1,,M,169 ,179 ,USA
403,Meldrick Taylor,1966-10-19,"Philadelphia, Pennsylvania, U.S.",Light welterweight/Welterweight/Light middleweight,5 ft 7+1⁄2 in (171 cm)[1],66 in (168 cm)[1],Orthodox,47,38,20,8,1,,M,171 ,168 ,USA
404,Julio César Chávez,1962-07-12,"Obregón, Sonora, Mexico",Super featherweight/Lightweight/Light welterweight/Welterweight,5 ft 7+1⁄2 in (171 cm)[1],68 in (173 cm)[1],Orthodox,115,107,86,6,2,,M,171 ,173 ,Mexico
405,Pernell Whitaker,1964-01-02,"Norfolk, Virginia, U.S.",Lightweight/Light welterweight/Welterweight/Light middleweight,5 ft 6 in (168 cm)[1],69 in (175 cm)[1],Southpaw,46,40,17,4,1,1,M,168 ,175 ,USA
406,Jake Rodríguez,1965-10-02,"Arroyo, Puerto Rico",Light welterweight/Welterweight/Light middleweight,5 ft 8 in (173 cm),,Southpaw,38,28,8,8,2,,M,173 ,,Puerto Rico
407,Kostya Tszyu,1969-09-19,"Serov, Russian SFSR,Soviet Union",Light-welterweight,5 ft 7 in (170 cm)[1],67 in (170 cm)[1],Orthodox,34,31,25,2,,1,M,170 ,170 ,Russia
408,Vince Phillips,1963-07-23,"Pensacola, Florida, U.S.",Light welterweight/Welterweight/Light middleweight,5 ft 7+1⁄2 in (171 cm),70 in (178 cm),Orthodox,61,48,34,12,1,,M,171 ,178 ,USA
409,Terron Millett,1968-06-28,,Welterweight/Light welterweight,5 ft 9 in (175 cm),70 in (178 cm),Orthodox,33,27,19,5,1,0,M,175 ,178 ,unknown
410,Juan Urango,1980-10-04,"Montería, Córdoba, Colombia",Light welterweight/Welterweight,,,Southpaw,28,24,19,3,1,,M,,,Colombia
411,Lovemore N'dou,1971-08-16,"Musina, South Africa",Super-featherweight/Lightweight/Light-welterweight/Welterweight/Light-middleweight,,,Orthodox,64,49,31,13,2,,M,,,South Africa
412,Paulie Malignaggi,1980-11-23,"Bensonhurst, Brooklyn, U.S.[1]",Light welterweight/Welterweight,5 ft 8 in (173 cm),70 in (178 cm),,44,36,7,8,,,M,173 ,178 ,USA
413,Herman Ngoudjo,1979-06-25,"Douala, Cameroon",Light-welterweight,5 ft 9 in (175 cm),73 in (185 cm),Orthodox,22,18,10,4,,,M,175 ,185 ,Cameroon
414,Lamont Peterson,1984-01-24,"Washington, D.C., U.S.",Light welterweight/Welterweight,5 ft 9 in (175 cm),72 in (183 cm),Orthodox,42,35,17,6,1,,M,175 ,183 ,USA
415,César Cuenca,1981-01-18,"Tres Isletas, Chaco, Argentina",Light welterweight,5 ft 8 in (1.73 m),69 in (175 cm),Southpaw,54,48,2,4,,2,M,173 ,175 ,Argentina
416,Sergey Lipinets,1989-03-23,"Martuk, Kazakh SSR, Soviet Union (now Kazakhstan)",Light-welterweight/Welterweight,170 cm (5 ft 7 in),170 cm (67 in),Orthodox,21,17,13,3,1,,M,170 ,67 in,Kazakhstan
417,Mikey Garcia,1987-12-15,"Oxnard, California, U.S.",Featherweight/Super featherweight/Lightweight/Light welterweight/Welterweight,5 ft 6 in (168 cm)[1],68 in (173 cm)[1],Orthodox,42,40,30,2,,,M,168 ,173 ,USA
418,Ivan Baranchyk,1993-01-24,"Amursk, Russia",Light-welterweight/Welterweight,5 ft 8 in (173 cm),67+1⁄2 in (171 cm),Orthodox,23,20,13,3,,,M,173 ,171 ,Russia
419,Subriel Matías,1992-03-31,"Fajardo, Puerto Rico",Light welterweight,5 ft 9 in (175 cm)[1],71 in (180 cm)[1],Orthodox,21,20,20,1,,,M,175 ,180 ,Puerto Rico
420,Harry Arroyo,1957-10-25,"Youngstown, Ohio, USA",Lightweight/Light welterweight/Light middleweight,5 ft 10 in (178 cm),,Orthodox,51,40,30,11,0,0,M,178 ,,USA
421,Greg Haugen,1960-08-31,"Auburn, Washington, U.S.",Lightweight/Light welterweight,5 ft 6 in (168 cm),67 in (170 cm),Orthodox,53,40,19,10,1,2,M,168 ,170 ,USA
422,Vinny Paz,1962-12-16,"Cranston, Rhode Island, U.S.",Lightweight/Light welterweight/Light middleweight/Super middleweight,5 ft 7+1⁄2 in (1.71 m),70+1⁄2 in (179 cm),Orthodox,60,50,30,10,,,M,171 ,179 ,USA
423,Freddie Pendleton,1963-01-05,"Philadelphia, Pennsylvania",Lightweight,,,,78,47,34,26,5,,M,,,USA
424,Rafael Ruelas,1971-04-26,"Yerbabuena, Jalisco,Mexico",Featherweight/Lightweight/Super lightweight,5 ft 11 in (1.80 m),71 in (180 cm),Orthodox,57,53,41,4,,,M,180 ,180 ,Mexico
425,Oscar De La Hoya,1973-02-04,"East Los Angeles, California, U.S.",Super featherweight/Lightweight/Light welterweight/Welterweight/Light middleweight/Middleweight,5 ft 10+1⁄2 in (179 cm)[2],73 in (185 cm)[2],Orthodox,45,39,30,6,,,M,179 ,185 ,USA
426,Philip Holiday,1970-05-23,"Benoni, Gauteng, South Africa",Lightweight/Light-welterweight/Welterweight,5 ft 6 in (168 cm),68 in (173 cm),,47,39,22,7,1,,M,168 ,173 ,South Africa
427,Shane Mosley,1971-09-07,"Lynwood, California, U.S.",Lightweight/Welterweight/Light middleweight,5 ft 9 in (175 cm)[1],74 in (188 cm)[1],Orthodox,61,49,41,10,1,1,M,175 ,188 ,USA
428,Paul Spadafora,1975-09-05,"Pittsburgh, Pennsylvania, U.S.",Lightweight/Light welterweight,5 ft 9 in (175 cm),69 in (175 cm),Southpaw,51,49,19,1,1,,M,175 ,175 ,USA
429,Jesús Chávez,1972-11-12,"Delicias, Chihuahua, Mexico",Featherweight/Super featherweight/Lightweight,5 ft 5 in (165 cm),65 in (165 cm),Orthodox,52,44,30,8,,,M,165 ,165 ,Mexico
430,Nate Campbell,1972-03-07,"Jacksonville, Florida, U.S.",Super featherweight/Lightweight/Light welterweight/Welterweight,5 ft 7 in (170 cm),70 in (178 cm),Orthodox,50,37,26,11,1,1,M,170 ,178 ,USA
431,Miguel Vázquez,1987-01-06,"Guadalajara, Jalisco, Mexico",Lightweight/Light welterweight/Welterweight,5 ft 10 in (178 cm),72 in (183 cm),Orthodox,56,44,17,12,,,M,178 ,183 ,Mexico
432,Mickey Bey,1983-06-27,"Cleveland, Ohio, U.S.",Lightweight,5 ft 9 in (175 cm),69 in (175 cm),Orthodox,28,23,11,3,1,1,M,175 ,175 ,USA
433,Rances Barthelemy,1986-06-25,"Arroyo Naranjo, Cuba",Super featherweight/Lightweight/Light welterweight,1.78 m (5 ft 10 in)[1],184 cm (72 in)[1],Orthodox,34,30,15,2,1,1,M,178 ,72 in,Cuba
434,Robert Easter Jr.,1991-01-26,"Toledo, Ohio, U.S.",Lightweight,5 ft 11 in (180 cm)[1],76 in (193 cm)[1],Orthodox,25,23,14,1,1,,M,180 ,193 ,USA
435,Richard Commey,1987-03-10,"Accra, Ghana",Lightweight,5 ft 8 in (173 cm),71 in (180 cm),Orthodox,36,30,27,5,1,,M,173 ,180 ,Ghana
436,Teófimo López,1997-07-30,"Brooklyn, New York, U.S.",Lightweight/Light welterweight,5 ft 8 in (173 cm)[1],68+1⁄2 in (174 cm)[1],Orthodox,21,20,13,1,,,M,173 ,174 ,USA
437,Devin Haney,1998-11-17,"San Francisco, California, U.S.[2]",Lightweight/Light welterweight,5 ft 8 in (173 cm)[1],72 in (183 cm)[1],Orthodox,31,31,15,,,,M,173 ,183 ,USA
438,Yuh Hwan-kil,1962-09-23,"Namhae, Gyeongsangnam-do, South Korea",Featherweight/Junior-lightweight,5 ft 6 in (1.68 m),,,31,26,11,2,3,,M,168 ,,South Korea
439,Barry Michael,,,Super Featherweight,,,,60,48,15,9,3,0,M,,,unknown
440,Rocky Lockridge,1959-01-10,"Tacoma, Washington, U.S.",Super featherweight/Featherweight,5 ft 6+1⁄2 in (169 cm),68 in (173 cm),Orthodox,53,44,36,9,,,M,169 ,173 ,USA
441,John John Molina,1965-03-17,"Fajardo, Puerto Rico",Lightweight/Super featherweight,5 ft 7 in (170 cm),67 in (170 cm),Orthodox,59,52,33,7,,,M,170 ,170 ,Puerto Rico
442,Tracy Harris Patterson,1964-12-26,"Grady, Alabama, U.S.",Super bantamweight/Super featherweight,5 ft 5+1⁄2 in (166 cm),67+1⁄2 in (171 cm),Orthodox,73,63,43,8,1,,M,166 ,171 ,USA
443,Arturo Gatti,1972-04-15,"Montreal, Quebec, Canada",Super featherweight/Light welterweight/Welterweight,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Orthodox,49,40,31,9,,,M,173 ,173 ,Canada
444,Diego Corrales,1977-08-25,"Columbia, South Carolina, U.S.",Super featherweight/Lightweight,5 ft 10+1⁄2 in (179 cm)[1],70 in (178 cm)[1],Orthodox,45,40,33,5,,,M,179 ,178 ,USA
445,Steve Forbes,1947-07-18,"Morristown, New Jersey, U.S.",,,,,,,,,,,M,,,USA
446,Erik Morales,1976-09-01,"Tijuana, Baja California, Mexico",Super bantamweight/Featherweight/Super featherweight/Lightweight/Light welterweight/Welterweight,5 ft 8 in (173 cm)[1],72 in (183 cm)[1],Orthodox,61,52,36,9,,,M,173 ,183 ,Mexico
447,Robbie Peden,1973-11-11,"Brisbane, Queensland, Australia",,1.73 m (5 ft 8 in),175 cm (69 in),Orthodox,29,25,14,4,0,,M,173 ,69 in,Australia
448,Gairy St. Clair,1975-02-02,"Georgetown, Guyana",Junior Lightweight,,,Orthodox,60,46,18,12,2,0,M,,,Guyana
449,Mzonke Fana,1973-10-29,"Qumbu, South Africa",Super featherweight/Lightweight,5 ft 7 in (170 cm),70 in (178 cm),Orthodox,51,38,16,13,,,M,170 ,178 ,South Africa
450,Robert Guerrero,1983-03-27,"Gilroy, California, U.S.",Featherweight/Super featherweight/Lightweight/Welterweight,5 ft 8 in (173 cm)[1],70 in (178 cm)[1],Southpaw,47,38,20,6,1,2,M,173 ,178 ,USA
451,Juan Carlos Salgado,1984-12-20,"Mexico City, Mexico",Featherweight/Super featherweight/Lightweight/Light welterweight,5 ft 9 in (175 cm),69+1⁄2 in (177 cm),Orthodox,40,28,17,10,1,1,M,175 ,177 ,Mexico
452,Argenis Mendez,1986-07-03,"San Juan, Dominican Republic",Super featherweight/Lightweight,5 ft 9 in (175 cm),70 in (178 cm),Orthodox,36,25,12,7,3,1,M,175 ,178 ,Dominican Republic
453,Gervonta Davis,1994-11-07,"Baltimore, Maryland, U.S.",Super featherweight/Lightweight/Light welterweight,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Southpaw,29,29,27,,,,M,165 ,171 ,USA
454,Tevin Farmer,1990-07-30,"Philadelphia, Pennsylvania, U.S.",Super featherweight/Lightweight,5 ft 6 in (168 cm),67 in (170 cm),Southpaw,39,32,7,5,1,1,M,168 ,170 ,USA
455,Joseph Diaz,1992-11-23,"South El Monte, California, U.S.",Featherweight/Super featherweight/Lightweight/Light welterweight,5 ft 6 in (168 cm),64 in (163 cm),Southpaw,39,33,15,5,1,,M,168 ,163 ,USA
456,Kenichi Ogawa,1988-02-01,"Toyohashi, Japan",Super-featherweight,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Orthodox,32,28,19,2,1,1,M,173 ,173 ,Japan
457,Joe Cordina,1991-12-01,"Cardiff, Wales",Super-featherweight/Lightweight,5 ft 9 in (175 cm),69 in (175 cm),,17,17,9,,,,M,175 ,175 ,Wales
458,Oh Min-keun,1962-08-15,"Seoul, South Korea",Featherweight,,,Orthodox,21,16,6,5,,,M,,,South Korea
459,Chung Ki-young,1959-11-23,"Gyeongsangbuk-do, South Korea",Featherweight,,,,38,31,10,5,2,,M,,,South Korea
460,Calvin Grove,1962-08-05,"Coatesville, Pennsylvania, U.S.",Featherweight/Super featherweight/Lightweight,5 ft 7 in (170 cm),70 in (178 cm),Orthodox,59,49,18,10,0,0,M,170 ,178 ,USA
461,Jorge Páez,1965-10-27,"Mexicali, Baja California, Mexico",Featherweight/Super featherweight/Lightweight,5 ft 5 in (1.65 m),69 in (175 cm),Orthodox,98,79,52,14,5,,M,165 ,175 ,Mexico
462,Héctor Lizárraga,1966-09-01,Mexico,Welterweight/Lightweight/Super featherweight/Featherweight,1.82 m (6 ft 0 in),189 cm (74 in),Orthodox,55,38,21,12,5,0,M,182 ,74 in,Mexico
463,Paul Ingle,1972-06-22,"Scarborough, North Yorkshire, England",Featherweight,5 ft 5 in (165 cm)[1],66 in (168 cm)[1],Orthodox,25,23,16,2,,,M,165 ,168 ,England
464,Mbulelo Botile,1972-07-23,"Duncan Village, Buffalo City, South Africa",Bantamweight/Featherweight/Super-featherweight,5 ft 5 in (165 cm)[1],67 in (170 cm)[1],Orthodox,31,27,16,4,,,M,165 ,170 ,South Africa
465,Frank Toledo,1970-04-12,"Newark, New Jersey",Featherweight,,,,51,43,18,7,1,,M,,,USA
466,Johnny Tapia,1967-02-13,"Albuquerque, New Mexico, U.S.",Super flyweight/Bantamweight/Featherweight/Lightweight,5 ft 6 in (168 cm)[1],62+1⁄2 in (159 cm)[1],Orthodox,66,59,30,5,2,,M,168 ,159 ,USA
467,Juan Manuel Márquez,1973-08-23,"Iztacalco, Mexico City, Mexico",Featherweight/Super featherweight/Lightweight/Light welterweight/Welterweight,5 ft 7 in (170 cm),67 in (170 cm),Orthodox,64,56,40,7,1,,M,170 ,170 ,Mexico
468,Valdemir Pereira,1974-11-15,"Cruz das Almas, Bahia, Brazil",Featherweight,5 ft 5 in (1.65 m),,Orthodox,25,24,15,1,,,M,165 ,,Brazil
469,Eric Aiken,1980-04-08,"Marysville, Ohio, USA",Featherweight,5 ft 7 in (170 cm),71 in (180 cm),Orthodox,29,16,12,11,1,1,M,170 ,180 ,USA
470,Orlando Salido,1980-11-16,"Ciudad Obregón, Sonora, Mexico",Featherweight/Super featherweight,5 ft 6 in (168 cm),67 in (170 cm),Orthodox,63,44,31,14,4,1,M,168 ,170 ,Mexico
471,Yuriorkis Gamboa,1981-12-23,"Guantánamo, Cuba",Featherweight/Super featherweight/Lightweight,5 ft 5+1⁄2 in (166 cm),65 in (165 cm),Orthodox,35,30,18,5,,,M,166 ,165 ,Cuba
472,Evgeny Gradovich,1986-08-07,"Igrim, Khanty-Mansi Autonomous Okrug, Russian SFSR, Soviet Union",Super bantamweight/Featherweight/Super featherweight,1.73 m (5 ft 8 in),170 cm (67 in),Orthodox,26,23,9,2,1,,M,173 ,67 in,Russia
