,Name,Birthday,Nationality,Weight,Height,Reach,Stance,Total Fights,Wins,Wins by KO,Losses,Draws,No Contests
502,César Seda,1986-01-17,"January 17, 1986 (1986-01-17) (age 38)",,5 ft 5 in (165 cm),,,31,28,18,3,0,
503,Moruti Mthalane,1982-10-06,"Gauteng, South Africa",Flyweight,5 ft 3+1⁄2 in (161 cm)[1],66+1⁄2 in (169 cm),Orthodox,43,40,26,3,,
504,Maximino Flores,,,,,,,,,,,,
505,Dave Apolinario,1999-01-20,"Maasim, Sarangani, Philippines",Light Flyweight/Flyweight,1.65 m (5 ft 5 in),165 cm (65 in),Southpaw,19,19,13,,,
506,José García Bernal,,,,,,,,,,,,
507,Monelisi Mhikiza Myekeni,,,,,,,,,,,,
508,Hekkie Budler,1988-05-18,"Johannesburg, Gauteng,South Africa",Mini-flyweight/Light-flyweight,1.60 m (5 ft 3 in),165 cm (65 in),Orthodox,40,35,11,5,,
509,Rey Loreto,1990-11-10,"La Trinidad, Benguet, Philippines",Mini flyweight/Light flyweight,,,Southpaw,40,25,17,15,,
510,Tibo Monabesa,1990-06-10,"Oelbubuk, South Central Timor, East Nusa Tenggara, Indonesia",Light flyweight,5 ft 4 in (163 cm),67 in (170 cm),Southpaw,26,21,8,2,2,1
511,Noel Tuñacao,,,,,,,,,,,,
512,Nkosinathi Joyi,1983-05-21,"Mdantsane, South Africa",Mini flyweight/Light flyweight,5 ft 6 in (168 cm),67+1⁄2 in (171 cm),Southpaw,37,29,19,6,1,1
513,Simphiwe Khonco,1984-04-09,"Mthatha, Eastern Cape, South Africa",Mini-flyweight,5 ft 2 in (157 cm),64+1⁄2 in (164 cm),Orthodox,28,20,7,7,,1
514,Ayanda Ndulani,1997-04-04,"East London, Eastern Cape, South Africa",Mini flyweight,,,Orthodox,17,13,4,3,1,
515,Larry Holmes,1949-11-03,"Cuthbert, Georgia, U.S.",Heavyweight,6 ft 3 in (191 cm),81 in (206 cm),Orthodox,75,69,44,6,,
516,Michael Spinks,1956-07-13,"St. Louis, Missouri, U.S",Light heavyweight/Heavyweight,6 ft 2+1⁄2 in (189 cm)[1],76 in (193 cm)[1],Orthodox,32,31,21,1,,
517,Tony Tucker,1958-12-27,"Grand Rapids, Michigan, U.S.",Light heavyweight/Heavyweight,6 ft 5 in (196 cm),82 in (208 cm),Orthodox,65,57,47,7,,1
518,Mike Tyson,1966-06-30,"Brooklyn, New York City, U.S.",Heavyweight,5 ft 10 in (178 cm)[1][2][nb 1],71 in (180 cm)[3],Orthodox,58,50,44,6,,2
519,Buster Douglas,1960-04-07,"Columbus, Ohio, U.S.",Heavyweight,6 ft 3+1⁄2 in (192 cm),83 in (211 cm),Orthodox,46,38,25,6,1,1
520,Evander Holyfield,1962-10-19,"Atmore, Alabama, U.S.",Light heavyweight/Cruiserweight/Heavyweight,6 ft 2+1⁄2 in (189 cm)[1],77+1⁄2 in (197 cm)[1],Orthodox,57,44,29,10,2,1
521,Riddick Bowe,1967-08-10,"Brooklyn, New York City, U.S.",Heavyweight,6 ft 5 in (196 cm)[1],81 in (206 cm)[1],Orthodox,45,43,33,1,,1
522,Michael Moorer,1967-11-12,"Brooklyn, New York, U.S.",Light heavyweight/Heavyweight,6 ft 2 in (188 cm)[1],76 in (193 cm)[1],Southpaw,57,52,40,4,1,
523,George Foreman,1949-01-10,"Marshall, Texas, U.S.",Heavyweight,6 ft 4 in (193 cm)[1],79 in (201 cm)[1],Orthodox,81,76,68,5,,
524,Axel Schulz,1968-11-09,"Bad Saarow, Bezirk Frankfurt, East Germany",Heavyweight,1.91 m (6 ft 3 in),193 cm (76 in),Orthodox,33,26,11,5,1,1
525,Chris Byrd,1970-08-15,"Flint, Michigan, U.S.",Heavyweight,6 ft 1 in (185 cm),74 in (188 cm),Southpaw,47,41,22,5,1,
526,Charles Martin,,,,,,,,,,,,
527,Marvin Camel,1951-12-24,"Ronan, Montana, U.S.",Light heavyweight/Cruiserweight,6 ft 2 in (188 cm),79 in (201 cm),Southpaw,62,45,21,13,4,
528,Lee Roy Murphy,1958-07-16,"Chicago, Illinois, USA",Cruiserweight/Heavyweight,5 ft 11 in (180 cm),,Orthodox,34,30,23,4,0,0
529,Rickey Parkey,1956-11-07,"Morristown, Tennessee, U.S.",Cruiserweight,6 ft 0 in (183 cm),73 in (185 cm),Orthodox,42,22,16,20,,
530,Glenn McCrory,1964-09-23,"Annfield Plain, County Durham, England",Cruiserweight/Heavyweight,6 ft 4 in (1.93 m),,Orthodox,39,30,12,8,1,
531,Jeff Lampkin,1961-09-21,"Youngstown, Ohio, USA",Light heavyweight/Cruiserweight/Heavyweight,6 ft 1 in (185 cm),,Orthodox,59,39,34,19,1,
532,James Warring,1958-11-26,,,1.90 m (6 ft 3 in),,,,2,,1,1,
533,Al Cole,1964-04-21,"Atlantic City, New Jersey, U.S.",Cruiserweight/Heavyweight,6 ft 4 in (1.93 m),80 in (203 cm),Orthodox,54,35,16,16,3,
534,Imamu Mayfield,1972-04-19,,Cruiserweight/Heavyweight,6 ft 3 in (1.91 m),78 in (200 cm),Orthodox,,0,,1,3,
535,Arthur Williams,,,,,,,,,,,,
536,Vassiliy Jirov,1974-04-04,"Balkhash, Kazakh SSR, Soviet Union (now Kazakhstan)[2]",Cruiserweight/Heavyweight,6 ft 2 in (188 cm)[1],74 in (188 cm)[1],Southpaw,42,38,32,3,1,
537,Kelvin Davis,,,,,,,,,,,,
538,O'Neil Bell,1974-12-29,Jamaica,Cruiserweight,6 ft 0 in (183 cm),75 in (191 cm),Orthodox,32,27,25,4,1,
539,Krzysztof Włodarczyk,1981-09-19,"Warsaw, Polish People's Republic",Cruiserweight,1.86 m (6 ft 1 in),191 cm (75 in),Orthodox,70,65,44,4,1,
540,Steve Cunningham,1976-07-15,"Philadelphia, Pennsylvania, U.S.",Cruiserweight/Heavyweight,6 ft 3 in (191 cm),82 in (208 cm),Orthodox,40,30,13,9,1,
541,Troy Ross,1975-07-17,"Georgetown, Guyana",Cruiserweight/Light Heavyweight,5'11,1.80 in (5 cm),,28,25,16,3,,
542,Yoan Pablo Hernández,1984-10-28,"Pinar del Río, Cuba",Cruiserweight,6 ft 4 in (193 cm),77 in (196 cm),Southpaw,31,29,14,2,,
543,Victor Emilio Ramírez,1984-03-30,"Ezeiza, Buenos Aires,Argentina",Cruiserweight/Heavyweight,5 ft 11 in (180 cm),69 in (175 cm),Orthodox,33,27,22,4,1,1
544,Denis Lebedev,1979-08-14,"Stary Oskol, Russian SFSR, Soviet Union",Light-heavyweight/Cruiserweight,1.80 m (5 ft 11 in),182 cm (72 in),Southpaw,36,32,23,3,,1
545,Murat Gassiev,1993-10-12,"Vladikavkaz, North Ossetia-Alania, Russia",Cruiserweight/Heavyweight,1.92 m (6 ft 4 in)[1],193 cm (76 in),Orthodox,33,30,23,2,,1
546,Yuniel Dorticos,1986-03-11,"Havana, Cuba",Cruiserweight,6 ft 3 in (191 cm),80 in (203 cm),Orthodox,28,26,24,2,,
547,Mairis Briedis,1985-01-13,Skriveri Latvia,Cruiserweight/Heavyweight,1.86 m (6 ft 1 in)[1],190 cm (75 in)[1],Orthodox,30,28,20,2,,
548,Jai Opetaia,1995-06-30,"Sydney, New South Wales, Australia",Cruiserweight/Heavyweight,6 ft 2 in (188 cm),76 in (193 cm),Southpaw,24,24,19,,,
549,Slobodan Kačar,1957-09-15,"Jajce, SR Bosnia and Herzegovina, SFR Yugoslavia[2]",Light heavyweight,6 ft 0+1⁄2 in (184 cm),74 in (188 cm),Orthodox,24,22,12,2,,
550,Bobby Czyz,1962-02-10,"Orange, New Jersey, U.S.",Middleweight/Light heavyweight/Cruiserweight/Heavyweight,5 ft 10 in (178 cm),69 in (175 cm),Orthodox,52,44,28,8,,
551,Charles Williams,,,,,,,,,,,,
552,Henry Maske,1964-01-06,"Treuenbrietzen, East Germany",Light Heavyweight,1.89 m (6 ft 2+1⁄2 in)[1],,Southpaw,32,31,11,1,,
553,Virgil Hill,1964-01-18,"Clinton, Missouri, U.S.",Light heavyweight/Cruiserweight,6 ft 0+1⁄2 in (184 cm),77 in (196 cm),Orthodox,58,51,24,7,,
554,Dariusz Michalczewski,1968-05-05,"Gdańsk, Poland",Light-heavyweight/Cruiserweight,1.84 m (6 ft 0 in),178 cm (70 in),Orthodox,50,48,38,2,,
555,William Guthrie,,,,,,,,,,,,
556,Reggie Johnson,,,,,,,,,,,,
557,Clinton Woods,1972-05-01,"Sheffield, West Riding of Yorkshire, England",Super-middleweight/Light-heavyweight,6 ft 2 in (188 cm),76 in (193 cm),Orthodox,48,42,24,5,1,
558,Tavoris Cloud,1982-01-10,"Tallahassee, Florida, U.S.",Light heavyweight,5 ft 10 in (178 cm),74 in (188 cm),Orthodox,28,25,20,3,,
559,Sergey Kovalev,1983-04-02,"Kopeysk, Russian SFSR,Soviet Union",Light-heavyweight/Cruiserweight,6 ft (183 cm)[1],72+1⁄2 in (184 cm)[1],Orthodox,40,35,29,4,1,
560,Andre Ward,1984-02-23,"San Francisco, California, U.S.",Super middleweight/Light heavyweight,6 ft 0 in (183 cm)[1],71 in (180 cm),Orthodox,32,32,16,,,
561,Artur Beterbiev,1985-01-21,"Khasavyurt, Dagestan ASSR, Russian SFSR, Soviet Union",Light-heavyweight,6 ft 0 in (183 cm)[1],73 in (185 cm)[1],Orthodox,20,20,20,,,
562,Murray Sutherland,1953-04-10,"Edinburgh, Scotland",Super middleweight/Light heavyweight,6 ft 0 in (183 cm),74 in (188 cm),Orthodox,62,47,39,14,1,
563,Park Chong-pal,1958-08-11,"Muan, Jeollanam-do, South Korea",Middleweight/Super-middleweight/Light-heavyweight,5 ft 10 in (178 cm),72 in (183 cm),Orthodox,53,46,39,5,1,1
564,Graciano Rocchigiani,1963-12-29,"Duisburg, North Rhine-Westphalia, West Germany",Middleweight/Super-middleweight/Light-heavyweight,1.85 m (6 ft 1 in),189 cm (74 in),Southpaw,48,41,19,6,1,
565,Lindell Holmes,1957-04-04,"Toledo, Ohio, USA",Middleweight/Super middleweight,5 ft 8 in (173 cm),72 in (183 cm),Orthodox,54,45,36,8,,1
566,Darrin Van Horn,1968-09-07,"Cincinnati, Ohio, U.S.",Light middleweight/Super middleweight,5 ft 11 in (180 cm),73 in (185 cm),Orthodox,57,54,30,3,,
567,Iran Barkley,1960-05-06,"New York City, U.S.",Middleweight/Super middleweight/Light heavyweight/Heavyweight,6 ft 1 in (185 cm)[1],74 in (188 cm)[1],Orthodox,63,43,27,19,1,
568,Charles Brewer,,,,,,,,,,,,
569,Sven Ottke,1967-06-03,,Super-middleweight/Light-heavyweight,1.78 m (5 ft 10 in),175 cm (69 in),Orthodox,,256,,47,5,
570,Joe Calzaghe,1972-03-23,"Hammersmith, London, England",Super-middleweight/Light-heavyweight,6 ft 0 in (183 cm)[1],73 in (185 cm),Southpaw,46,46,32,,,
571,Alejandro Berrio,1976-08-07,"Cartagena, Colombia",Middleweight/Super middleweight/Light heavyweight/Cruiserweight,6 ft 1 in (185 cm),76 in (193 cm),Orthodox,58,41,34,17,,
572,Lucian Bute,1980-02-28,"Pechea, Galați, Socialist Republic of Romania",Super-middleweight/Light-heavyweight,6 ft 1+1⁄2 in (187 cm),72 in (183 cm),Southpaw,37,32,25,5,,
573,Carl Froch,1977-07-02,"Nottingham, England",Super-middleweight,6 ft 1 in (185 cm)[1],75 in (191 cm)[1],Orthodox,35,33,24,2,,
574,James DeGale,1986-02-03,"Hammersmith, West London,England",Super-middleweight,6 ft 1 in (185 cm)[1],74 in (188 cm)[1],Southpaw,29,25,15,3,1,
575,Caleb Truax,1983-09-14,"Osseo, Minnesota, U.S.",Middleweight/Super middleweight,6 ft 1 in (185 cm),75 in (191 cm),Orthodox,40,31,19,6,2,1
576,José Uzcátegui,1990-12-24,"El Vigia, Mérida, Venezuela",Middleweight/Super middleweight/Light heavyweight,6 ft 2 in (188 cm)[1],76+1⁄2 in (194 cm)[1],Orthodox,37,32,27,5,,
577,Caleb Plant,1992-07-08,"Ashland City, Tennessee, U.S.",Super middleweight,6 ft 1 in (185 cm),74 in (188 cm),Orthodox,24,22,13,2,,
578,Canelo Álvarez,1990-07-18,"Guadalajara, Jalisco, Mexico",Welterweight/Light middleweight/Middleweight/Super middleweight/Light heavyweight,5 ft 8 in (173 cm)[1],70+1⁄2 in (179 cm)[1],Orthodox,64,60,39,2,2,
579,Marvin Hagler,1954-05-23,"Newark, New Jersey, U.S.",Middleweight,5 ft 9 in (175 cm)[1],75 in (191 cm)[1],Southpaw,67,62,52,3,2,
580,Frank Tate,,,,,,,,,,,,
581,Michael Nunn,1963-04-14,"Davenport, Iowa, U.S.",Middleweight/Super middleweight/Light heavyweight,6 ft 2 in (188 cm)[1],77 in (196 cm)[1],Southpaw,62,58,38,4,,
582,Jermain Taylor,1978-08-11,"Little Rock, Arkansas, U.S.",Middleweight/Super middleweight,6 ft 1 in (185 cm)[1],78 in (198 cm)[1],Orthodox,38,33,20,4,1,
583,Arthur Abraham,1980-02-20,"Yerevan, Armenian SSR,Soviet Union",Middleweight/Super-middleweight,5 ft 9 in (175 cm)[1],72 in (183 cm)[1],Orthodox,53,47,30,6,,
584,Sebastian Sylvester,1980-07-09,"Greifswald, East Germany",Middleweight,5 ft 7.5 in (171 cm),,Orthodox,40,34,16,5,1,
585,Darren Barker,1982-05-19,"Chipping Barnet,London, England",Middleweight,6 ft 0+1⁄2 in (184 cm),73 in (185 cm),Orthodox,28,26,16,2,,
586,Felix Sturm,1979-01-31,"Leverkusen, West Germany",Middleweight/Super-middleweight,1.81 m (5 ft 11+1⁄2 in)[1],185 cm (73 in)[1],Orthodox,52,42,18,7,3,
587,Sam Soliman,1973-11-13,"Melbourne, Victoria, Australia",Light-middleweight/Middleweight/Super-middleweight/Light-heavyweight/Cruiserweight,5 ft 9 in (175 cm)[1],71+1⁄2 in (182 cm)[1],Orthodox,66,49,19,17,1,1
588,David Lemieux,,,,,,,,,,,,
589,Daniel Jacobs,,,,,,,,,,,,
590,Sergiy Derevyanchenko,1985-10-31,"Feodosiya, Crimean Oblast, Ukrainian SSR, Soviet Union(now Feodosia, Ukraine)",Middleweight,5 ft 9 in (175 cm),68+1⁄2 in (174 cm),,19,14,10,5,,
591,Vincenzo Gualtieri,1993-01-04,"Wuppertal, Germany",Middleweight,5 ft 10+1⁄2 in (179 cm),,Orthodox,23,21,7,1,1,
592,Janibek Alimkhanuly,1993-04-01,"Almaty, Kazakhstan",Middleweight,182 cm (6 ft 0 in),71+1⁄2 in (182 cm),Southpaw,15,15,10,,,
593,Mark Medal,1957-06-10,"Manhattan, New York, U.S.",Light middleweight,5 ft 11+1⁄2 in (182 cm),79 in (201 cm),Orthodox,28,24,20,3,1,
594,Carlos Santos,,,,,,,,,,,,
595,Buster Drayton,1952-03-02,"Philadelphia, Pennsylvania, U.S.",Light middleweight/Middleweight,5 ft 11 in (180 cm),74 in (188 cm),Orthodox,57,40,28,15,1,1
596,Matthew Hilton,,,,,,,,,,,,
597,Robert Hines,,,,,,,,,,,,
598,Gianfranco Rosi,,,,,,,,,,,,
599,Vincent Pettway,1965-11-09,"Baltimore, Maryland, U.S.",Light middleweight,5 ft 8+1⁄2 in (174 cm),,Orthodox,51,43,32,7,1,
600,Paul Vaden,1967-12-29,"San Diego, California, U.S.",Light-middleweight/Middleweight,6 ft 1+1⁄2 in (187 cm),75 in (191 cm),,32,29,16,3,,
601,Terry Norris,,,,,,,,,,,,
602,Raúl Márquez,1971-08-28,"Valle Hermoso, Tamaulipas, Mexico",Light middleweight/Middleweight,5 ft 10+1⁄2 in (179 cm),74 in (188 cm),Southpaw,47,41,29,4,1,1
603,Luis Ramón Campas,1971-08-06,"Navojoa, Sonora, Mexico",Welterweight/Light middleweight/Middleweight,5 ft 7+1⁄2 in (171 cm)[1],68 in (173 cm)[1],Orthodox,128,108,83,17,3,
604,Fernando Vargas,1977-12-07,"Oxnard, California, U.S.",Light middleweight/Super middleweight,5 ft 10 in (178 cm)[1],74 in (188 cm)[1],Orthodox,31,26,22,5,,
605,Félix Trinidad,1973-01-10,"Fajardo, Puerto Rico",Welterweight/Light middleweight/Middleweight,5 ft 11 in (180 cm)[1],72 in (183 cm)[1],Orthodox,45,42,35,3,,
606,Winky Wright,1971-11-26,"Washington, D.C., U.S.",Welterweight/Light middleweight/Middleweight/Light heavyweight,5 ft 10.5 in (179 cm)[1],73 in (185 cm)[1],Southpaw,58,51,25,6,1,
607,Verno Phillips,1969-11-29,"Belize City, Belize",Light middleweight/Middleweight,5 ft 7 in (170 cm),69 in (175 cm),Orthodox,55,42,21,11,1,1
608,Kassim Ouma,1978-12-12,"Kampala, Uganda",Light middleweight/Middleweight,,,Southpaw,49,29,18,18,1,1
609,Roman Karmazin,1973-01-02,"Kuznetsk, Russia",Light middleweight/Middleweight,5 ft 11+1⁄2 in (182 cm),72 in (183 cm),Orthodox,48,40,26,5,2,1
610,Cory Spinks,1978-02-20,"St. Louis, Missouri, U.S.",Light welterweight/Welterweight/Light middleweight/Middleweight,5 ft 9+1⁄2 in (177 cm),71 in (180 cm),Southpaw,47,39,11,8,,
611,Deandre Latimore,1985-08-31,"St. Louis, Missouri, U.S.",Light middleweight,5 ft 9 in (175 cm),69 in (175 cm),Southpaw,27,23,17,4,,
612,Cornelius Bundrage,1973-04-25,"Detroit, Michigan, U.S.",Light middleweight,5 ft 6 in (168 cm),72 in (183 cm),Orthodox,44,37,21,6,,1
613,Ishe Smith,1978-07-22,"Las Vegas, Nevada, U.S.",Welterweight/Light middleweight/Middleweight,5 ft 10 in (178 cm),71 in (180 cm),Orthodox,40,29,12,11,,
614,Carlos Molina,,,,,,,,,,,,
615,Jermall Charlo,1990-05-19,"Lafayette, Louisiana, U.S.",Light middleweight/Middleweight,6 ft 0 in (183 cm)[1],74 in (188 cm)[1],Orthodox,33,33,22,,,
616,Jermell Charlo,1990-05-19,"Lafayette, Louisiana, U.S.",Light middleweight/Super middleweight,5 ft 11 in (180 cm)[1],73 in (185 cm)[1],Orthodox,38,35,19,2,1,
617,Donald Curry,1961-09-07,"Fort Worth, Texas, U.S.",Welterweight/Light middleweight/Middleweight,5 ft 10+1⁄2 in (179 cm)[1],72 in (183 cm)[1],Orthodox,40,34,25,6,,
618,Lloyd Honeyghan,1960-04-22,"Saint Elizabeth, Jamaica",Welterweight/Light-middleweight,5 ft 9 in (175 cm)[1],68 in (173 cm)[1],Orthodox,48,43,30,5,,
619,Simon Brown,,,,,,,,,,,,
620,Maurice Blocker,1963-05-15,"Washington, D.C., U.S.",Welterweight/Light middleweight,5 ft 11+1⁄4 in (181 cm)[1],74+1⁄4 in (189 cm)[1],Orthodox,40,36,20,4,,
621,Vernon Forrest,1971-02-12,"Augusta, Georgia, U.S.",Light welterweight/Welterweight/Light middleweight,6 ft (183 cm)[1],72+1⁄2 in (184 cm)[1],Orthodox,45,41,29,3,,1
622,Michele Piccirillo,1970-01-29,"Modugno, Italy",Light welterweight/Welterweight/Light middleweight,5 ft 10+1⁄2 in (179 cm),71+1⁄2 in (182 cm),Orthodox,56,50,29,5,,1
623,Zab Judah,1977-10-27,"Brownsville, Brooklyn, New York City, New York, U.S.",Light welterweight/Welterweight/Light middleweight,5 ft 7 in (170 cm)[1],72 in (183 cm)[1],Southpaw,56,44,30,10,,2
624,Kermit Cintrón,1979-10-22,"Carolina, Puerto Rico",Welterweight/Light middleweight,5 ft 11 in (180 cm),74 in (188 cm),Orthodox,49,39,30,6,3,1
625,Antonio Margarito,1978-03-18,"Torrance, California, U.S.[2]",Welterweight/Light middleweight,5 ft 11 in (180 cm)[1],72 in (183 cm)[1],Orthodox,50,41,27,8,,1
626,Joshua Clottey,1977-10-06,"Accra, Ghana",Light welterweight/Welterweight/Light middleweight,5 ft 8 in (173 cm),70 in (178 cm),Orthodox,47,41,24,5,,1
627,Jan Zaveck,1976-03-13,"Trdobojci, SFR Yugoslavia(now Slovenia)",Welterweight/Light-middleweight,1.72 m (5 ft 8 in),,Orthodox,40,35,19,4,,1
628,Andre Berto,1983-09-07,"Winter Haven, Florida, U.S.",Welterweight,5 ft 6+1⁄2 in (169 cm)[1],68+1⁄2 in (174 cm)[1],Orthodox,38,32,24,6,,
629,Randall Bailey,1974-09-13,"Opa-locka, Florida, U.S.",Light welterweight/Welterweight,5 ft 9 in (175 cm),70 in (178 cm),Orthodox,56,46,37,9,,1
630,Devon Alexander,1987-02-10,"St. Louis, Missouri, U.S.",Light welterweight/Welterweight/Light middleweight,5 ft 8+1⁄2 in (174 cm)[1],69 in (175 cm)[1],Southpaw,36,27,14,8,1,
631,Shawn Porter,1987-10-20,"Cleveland, Ohio, U.S.",Welterweight/Light middleweight,5 ft 7 in (170 cm)[1],69+1⁄2 in (177 cm)[1],Orthodox,36,31,17,4,1,
632,Kell Brook,1986-05-03,"Sheffield, South Yorkshire, England",Welterweight/Light-middleweight/Middleweight,5 ft 9 in (175 cm)[1],69 in (175 cm)[1],Orthodox,43,40,28,3,,
633,Errol Spence Jr.,1990-03-03,"Long Island, New York, U.S.",Welterweight,5 ft 9 in (175 cm)[1],72 in (183 cm)[1],Southpaw,29,28,22,1,,
634,Terence Crawford,1987-09-28,"Omaha, Nebraska, U.S.",Lightweight/Light welterweight/Welterweight,5 ft 8 in (173 cm)[1],74 in (188 cm)[1],Southpaw,40,40,31,,,
635,Jaron Ennis,1997-06-26,"Philadelphia, Pennsylvania, U.S.",Welterweight,5 ft 10 in (178 cm),74 in (188 cm),Orthodox,32,31,28,,,1
636,Aaron Pryor,1955-10-20,"Cincinnati, Ohio, U.S.",Light welterweight,5 ft 6 in (168 cm),69 in (175 cm),Orthodox,40,39,35,1,,
637,Gary Hinton,,,,,,,,,,,,
638,Joe Manley,1959-06-11,"Lima, Ohio",Light welterweight,,,,39,29,14,8,2,
639,Terry Marsh,,,,,,,,,,,,
640,Buddy McGirt,1964-01-17,"Brentwood, New York, U.S.",Light welterweight/Welterweight/Light middleweight,5 ft 6+1⁄2 in (169 cm)[1],70+1⁄2 in (179 cm)[1],Orthodox,80,73,48,6,1,
641,Meldrick Taylor,1966-10-19,"Philadelphia, Pennsylvania, U.S.",Light welterweight/Welterweight/Light middleweight,5 ft 7+1⁄2 in (171 cm)[1],66 in (168 cm)[1],Orthodox,47,38,20,8,1,
642,Julio César Chávez,1962-07-12,"Obregón, Sonora, Mexico",Super featherweight/Lightweight/Light welterweight/Welterweight,5 ft 7+1⁄2 in (171 cm)[1],68 in (173 cm)[1],Orthodox,115,107,86,6,2,
643,Rafael Pineda,,,,,,,,,,,,
644,Pernell Whitaker,1964-01-02,"Norfolk, Virginia, U.S.",Lightweight/Light welterweight/Welterweight/Light middleweight,5 ft 6 in (168 cm)[1],69 in (175 cm)[1],Southpaw,46,40,17,4,1,1
645,Charles Murray,,,,,,,,,,,,
646,Jake Rodríguez,1965-10-02,"Arroyo, Puerto Rico",Light welterweight/Welterweight/Light middleweight,5 ft 8 in (173 cm),,Southpaw,38,28,8,8,2,
647,Kostya Tszyu,1969-09-19,"Serov, Russian SFSR,Soviet Union",Light-welterweight,5 ft 7 in (170 cm)[1],67 in (170 cm)[1],Orthodox,34,31,25,2,,1
648,Vince Phillips,1963-07-23,"Pensacola, Florida, U.S.",Light welterweight/Welterweight/Light middleweight,5 ft 7+1⁄2 in (171 cm),70 in (178 cm),Orthodox,61,48,34,12,1,
649,Terron Millett,1968-06-28,,Welterweight/Light welterweight,5 ft 9 in (175 cm),70 in (178 cm),Orthodox,33,27,19,5,1,0
650,Juan Urango,1980-10-04,"Montería, Córdoba, Colombia",Light welterweight/Welterweight,,,Southpaw,28,24,19,3,1,
651,Lovemore N'dou,1971-08-16,"Musina, South Africa",Super-featherweight/Lightweight/Light-welterweight/Welterweight/Light-middleweight,,,Orthodox,64,49,31,13,2,
652,Paulie Malignaggi,1980-11-23,"Bensonhurst, Brooklyn, U.S.[1]",Light welterweight/Welterweight,5 ft 8 in (173 cm),70 in (178 cm),,44,36,7,8,,
653,Herman Ngoudjo,1979-06-25,"Douala, Cameroon",Light-welterweight,5 ft 9 in (175 cm),73 in (185 cm),Orthodox,22,18,10,4,,
654,Amir Khan,,,,,,,,,,,,
655,Lamont Peterson,1984-01-24,"Washington, D.C., U.S.",Light welterweight/Welterweight,5 ft 9 in (175 cm),72 in (183 cm),Orthodox,42,35,17,6,1,
656,César Cuenca,1981-01-18,"Tres Isletas, Chaco, Argentina",Light welterweight,5 ft 8 in (1.73 m),69 in (175 cm),Southpaw,54,48,2,4,,2
657,Sergey Lipinets,1989-03-23,"Martuk, Kazakh SSR, Soviet Union (now Kazakhstan)",Light-welterweight/Welterweight,170 cm (5 ft 7 in),170 cm (67 in),Orthodox,21,17,13,3,1,
658,Mikey Garcia,1987-12-15,"Oxnard, California, U.S.",Featherweight/Super featherweight/Lightweight/Light welterweight/Welterweight,5 ft 6 in (168 cm)[1],68 in (173 cm)[1],Orthodox,42,40,30,2,,
659,Ivan Baranchyk,1993-01-24,"Amursk, Russia",Light-welterweight/Welterweight,5 ft 8 in (173 cm),67+1⁄2 in (171 cm),Orthodox,23,20,13,3,,
660,Josh Taylor,,,,,,,,,,,,
661,Subriel Matías,1992-03-31,"Fajardo, Puerto Rico",Light welterweight,5 ft 9 in (175 cm)[1],71 in (180 cm)[1],Orthodox,21,20,20,1,,
662,Charlie Brown,,,,,,,,,,,,
663,Harry Arroyo,1957-10-25,"Youngstown, Ohio, USA",Lightweight/Light welterweight/Light middleweight,5 ft 10 in (178 cm),,Orthodox,51,40,30,11,0,0
664,Jimmy Paul,,,,,,,,,,,,
665,Greg Haugen,1960-08-31,"Auburn, Washington, U.S.",Lightweight/Light welterweight,5 ft 6 in (168 cm),67 in (170 cm),Orthodox,53,40,19,10,1,2
666,Vinny Paz,1962-12-16,"Cranston, Rhode Island, U.S.",Lightweight/Light welterweight/Light middleweight/Super middleweight,5 ft 7+1⁄2 in (1.71 m),70+1⁄2 in (179 cm),Orthodox,60,50,30,10,,
667,Freddie Pendleton,1963-01-05,"Philadelphia, Pennsylvania",Lightweight,,,,78,47,34,26,5,
668,Rafael Ruelas,1971-04-26,"Yerbabuena, Jalisco,Mexico",Featherweight/Lightweight/Super lightweight,5 ft 11 in (1.80 m),71 in (180 cm),Orthodox,57,53,41,4,,
669,Oscar De La Hoya,1973-02-04,"East Los Angeles, California, U.S.",Super featherweight/Lightweight/Light welterweight/Welterweight/Light middleweight/Middleweight,5 ft 10+1⁄2 in (179 cm)[2],73 in (185 cm)[2],Orthodox,45,39,30,6,,
670,Philip Holiday,1970-05-23,"Benoni, Gauteng, South Africa",Lightweight/Light-welterweight/Welterweight,5 ft 6 in (168 cm),68 in (173 cm),,47,39,22,7,1,
671,Shane Mosley,1971-09-07,"Lynwood, California, U.S.",Lightweight/Welterweight/Light middleweight,5 ft 9 in (175 cm)[1],74 in (188 cm)[1],Orthodox,61,49,41,10,1,1
672,Paul Spadafora,1975-09-05,"Pittsburgh, Pennsylvania, U.S.",Lightweight/Light welterweight,5 ft 9 in (175 cm),69 in (175 cm),Southpaw,51,49,19,1,1,
673,Javier Jáuregui,,,,,,,,,,,,
674,Julio Díaz,,,,,,,,,,,,
675,Jesús Chávez,1972-11-12,"Delicias, Chihuahua, Mexico",Featherweight/Super featherweight/Lightweight,5 ft 5 in (165 cm),65 in (165 cm),Orthodox,52,44,30,8,,
676,Nate Campbell,1972-03-07,"Jacksonville, Florida, U.S.",Super featherweight/Lightweight/Light welterweight/Welterweight,5 ft 7 in (170 cm),70 in (178 cm),Orthodox,50,37,26,11,1,1
677,Miguel Vázquez,1987-01-06,"Guadalajara, Jalisco, Mexico",Lightweight/Light welterweight/Welterweight,5 ft 10 in (178 cm),72 in (183 cm),Orthodox,56,44,17,12,,
